SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
Regime,CORREL,0.8727882767,-0.3033360922,7,,,,IRON (Fe-56),66,,,CORREL,0.8391141767,-0.1784945766,12,,,,IRON (Fe-56),75,,CORREL,0.9155758505,0.05684849119,6,,,,IRON (Fe-56),78,,CORREL,0.8712615834,-0.1469746837,12,,,,IRON (Fe-56),67,,CORREL,0.8769519472,-0.3121092468,9,,,,IRON (Fe-56),66,,CORREL,0.9204737751,-0.251618258,10,,,,IRON (Fe-56),65,,CORREL,0.9363039082,0.06549282468,3,,,,IRON (Fe-56),83,,CORREL,0.9728792852,0.04551527027,10,,,,IRON (Fe-56),71,,CORREL,0.9149835775,-0.1833043477,6,,,,IRON (Fe-56),70,,CORREL,0.9774390292,0.1547583025,18,,,,IRON (Fe-56),69
A. Singularities,RSQ,0.761759376,0.0920127848,,,,,SINGULARITY,17,,,RSQ,0.7041126016,0.03186031387,,,,,SINGULARITY,15,,RSQ,0.838279138,0.003231750951,,,,,SINGULARITY,12,,RSQ,0.7590967468,0.02160155765,,,,,SINGULARITY,17,,RSQ,0.7690447178,0.09741218194,,,,,PROTO-MATTER,10,,RSQ,0.8472719706,0.06331174778,,,,,SINGULARITY,18,,RSQ,0.8766650086,0.004289310084,,,,,SINGULARITY,15,,RSQ,0.9464941035,0.002071639828,,,,,SINGULARITY,14,,RSQ,0.8371949471,0.03360048389,,,,,SINGULARITY,17,,RSQ,0.9553870558,0.0239501322,,,,,DARK MATTER,18
Success Criteria,SLOPE,2.929936531,-0.1660967918,,,,,PROTO-MATTER,12,,,SLOPE,3.296918715,-0.1314728975,,,,,DARK MATTER,12,,SLOPE,4.275675132,0.04555594939,,,,,PROTO-MATTER,8,,SLOPE,3.494595944,-0.09795655662,,,,,DARK MATTER,12,,SLOPE,2.988210334,-0.1664734186,,,,,SINGULARITY,10,,SLOPE,3.839751725,-0.1050172297,,,,,DARK MATTER,10,,SLOPE,4.296468449,0.04815771328,,,,,PROTO-MATTER,10,,SLOPE,4.493784849,0.0208052061,,,,,DARK MATTER,10,,SLOPE,3.49092222,-0.09711383338,,,,,PROTO-MATTER,12,,SLOPE,4.513739695,0.07684230224,,,,,SINGULARITY,14
"PULL > 7.0, Sync < 0.90",INTERCEPT,0.4087063171,1.024057335,,,,,DARK MATTER,7,,,INTERCEPT,0.289234,1.008431886,,,,,HELIUM/CARBON,5,,INTERCEPT,0.0238174267,0.9603196928,,,,,DARK MATTER,6,,INTERCEPT,0.2224302305,0.9937163263,,,,,PROTO-MATTER,5,,INTERCEPT,0.3040361541,1.024243562,,,,,DARK MATTER,9,,INTERCEPT,0.1209352018,1.002182497,,,,,PROTO-MATTER,9,,INTERCEPT,0.02398351259,0.9630984725,,,,,MAGNESIUM,4,,INTERCEPT,-0.03727072523,0.9707164418,,,,,CALCIUM,6,,INTERCEPT,0.2605404932,1.007916409,,,,,DARK MATTER,6,,INTERCEPT,-0.01134724926,0.9678774051,,,,,PROTO-MATTER,11
,,,,,,,,CALCIUM,6,,,,,,,,,,PROTO-MATTER,5,,,,,,,,,HELIUM/CARBON,6,,,,,,,,,HELIUM/CARBON,4,,,,,,,,,MAGNESIUM,4,,,,,,,,,MAGNESIUM,5,,,,,,,,,DARK MATTER,3,,,,,,,,,PROTO-MATTER,6,,,,,,,,,CALCIUM,5,,,,,,,,,HELIUM/CARBON,7
,,,,0.9999,,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,
Target Coordinate,,,3.36,0.6688,1.062,,,,,,,,,3.74,0.6759,0.823,,,,,,,,4.41,0.6271,0.97,,,,,,,,5.2,0.5241,1.145,,,,,,,,4.87,0.4553,1.118,,,,,,,,7.75,0.6063,1.706,,,,,,,,4.53,0.6683,0.996,,,,,,,,6.89,0.58,1.517,,,,,,,,4.04,0.6991,1.209,,,,,,,,2.64,0.8213,0.657,,,,
J174540.04-290028.1,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,,J123049.42+122328.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J195821.67+351205.7,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J053431.97+220052.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J083520.61-451034.8,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J063354.15+174612.9,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J191149.56+045857.8,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J204020.30+335202.9,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J165901.59-395044.9,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J191506.24+105644.8,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,
,26000,06h08m40.6s -27d04m41s,1.61,0.9999,0.354,Stable,V-Band (Green),MAGNESIUM,,,,16000,21h28m18.7s +11d59m44s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h22m01.3s +37d05m20s,1.16,0.9999,0.256,Forming,K-Band (IR),PROTO-MATTER,,,6500,08h14m43.8s +22d08m52s,3.52,0.9999,0.775,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,930,08h27m07.1s -44d05m33s,1.05,0.9999,0.23,Forming,K-Band (IR),PROTO-MATTER,,,800,07h11m03.9s +18d33m13s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h56m05.7s +05d47m49s,1.25,0.9999,0.275,Forming,K-Band (IR),PROTO-MATTER,,,7800,01h16m52.4s +33d05m58s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,11000,23h10m30.0s -37d58m09s,2.11,0.9999,0.465,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,28000,10h14m48.6s +08d56m49s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,
,26000,06h08m03.3s -27d01m47s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,21h29m16.4s +11d59m09s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7300,00h25m45.4s +37d19m33s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,08h10m04.5s +22d10m28s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,930,08h25m18.1s -44d00m39s,0.72,0.9676,0.169,Ghost,Radio / CMB,DARK MATTER,,,800,07h13m14.7s +18d44m60s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,18000,03h53m43.9s +05d58m52s,0.38,0.6683,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,01h18m50.4s +33d03m39s,1.37,0.9768,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,23h12m50.0s -37d49m40s,1.29,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,28000,10h17m48.1s +08d47m48s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
