SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
Regime,CORREL,0.9359007147,-0.1615611493,6,,,,IRON (Fe-56),69,,,CORREL,0.956270066,-0.002297136643,7,,,,IRON (Fe-56),66,,CORREL,0.9167590918,-0.1349004525,8,,,,IRON (Fe-56),66,,CORREL,0.9738030328,0.02505208958,6,,,,IRON (Fe-56),59,,CORREL,0.9345075107,-0.2572789082,4,,,,IRON (Fe-56),71,,CORREL,0.924558248,-0.009140212012,9,,,,IRON (Fe-56),70,,CORREL,0.957637505,-0.08495815318,9,,,,IRON (Fe-56),79,,CORREL,0.9476873577,0.066263576,12,,,,IRON (Fe-56),68,,CORREL,0.9139355093,-0.1400725038,7,,,,,,,CORREL,0.9758231771,0.0999634772,7,,,,IRON (Fe-56),77
B. Stellar Nurseries,RSQ,0.8759101477,0.02610200497,,,,,SINGULARITY,15,,,RSQ,0.9144524391,0.000005276836755,,,,,SINGULARITY,15,,RSQ,0.8404472323,0.01819813208,,,,,SINGULARITY,22,,RSQ,0.9482923467,0.0006276071925,,,,,PROTO-MATTER,17,,RSQ,0.8733042875,0.06619243661,,,,,SINGULARITY,15,,RSQ,0.8548079539,0.00008354347563,,,,,PROTO-MATTER,15,,RSQ,0.9170695911,0.007217887792,,,,,DARK MATTER,10,,RSQ,0.898111328,0.004390861505,,,,,SINGULARITY,14,,RSQ,0.8352781151,0.01962030632,,,,,,,,RSQ,0.9522308729,0.009992696773,,,,,PROTO-MATTER,15
,SLOPE,3.533438558,-0.07493572672,,,,,PROTO-MATTER,11,,,SLOPE,4.37746762,-0.001047862581,,,,,PROTO-MATTER,11,,SLOPE,3.269829231,-0.07446596743,,,,,PROTO-MATTER,12,,SLOPE,3.738075556,0.008956391036,,,,,SINGULARITY,16,,SLOPE,3.273103569,-0.1078259234,,,,,PROTO-MATTER,9,,SLOPE,3.468438251,-0.006263016351,,,,,SINGULARITY,11,,SLOPE,3.680698969,-0.03511174154,,,,,PROTO-MATTER,10,,SLOPE,4.400603164,0.03604035688,,,,,DARK MATTER,12,,SLOPE,3.360865243,-0.07860350373,,,,,,,,SLOPE,4.502500796,0.04725103617,,,,,SINGULARITY,10
,INTERCEPT,0.2303882919,0.9954400623,,,,,DARK MATTER,6,,,INTERCEPT,-0.01960525295,0.9719217805,,,,,DARK MATTER,7,,INTERCEPT,0.2670884574,0.9777703865,,,,,DARK MATTER,8,,INTERCEPT,0.1830291059,0.9720285584,,,,,MAGNESIUM,7,,INTERCEPT,0.3330239562,1.007244461,,,,,HELIUM/CARBON,5,,INTERCEPT,0.2594662004,0.979920622,,,,,DARK MATTER,9,,INTERCEPT,0.217498129,0.9901296701,,,,,SINGULARITY,10,,INTERCEPT,-0.01573281761,0.9631708308,,,,,PROTO-MATTER,11,,INTERCEPT,0.298168832,1.001915518,,,,,,,,INTERCEPT,-0.01312423549,0.9673148216,,,,,DARK MATTER,7
,,,,,,,,MAGNESIUM,5,,,,,,,,,,HELIUM/CARBON,4,,,,,,,,,MAGNESIUM,5,,,,,,,,,DARK MATTER,6,,,,,,,,,CALCIUM,2,,,,,,,,,MAGNESIUM,4,,,,,,,,,HELIUM/CARBON,5,,,,,,,,,CALCIUM,4,,,,,,,,,,,,,,,,,,,MAGNESIUM,7
,,,,0.9999,,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,
Target Coordinate,,,5.16,0.6859,0.3133571429,,,,,,,,,6.62,0.5484,0.3250803571,,,,,,,,5.64,0.5419,0.3147079646,,,,,,,,6.76,0.7106,0.3043482143,,,,,,,,3.61,0.6565,0.3277699115,,,,,,,,3.73,0.56,0.2889375,,,,,,,,6.22,0.2951,0.3148761062,,,,,,,,6,0.6702,0.2964955752,,,,,,,,3.61,0.6565,0.3050535714,,,,,,,,6.23,0.736,0.3083628319,,,,
J053517.30-052328.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,,J181848.00-134900.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J104351.00-595200.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J180337.00-242312.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J180223.00-230148.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J162806.00-243230.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J053842.00-690603.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J205917.00+441909.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J063213.00+045121.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J182026.00-161036.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,
,1344,05h16m43.4s -03d52m08s,3.79,0.9999,0.833,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,7000,20h53m56.8s -12d26m37s,2.66,0.9999,0.585,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8500,14h36m39.9s -59d22m32s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4100,20h02m48.1s -23d47m16s,1.5,0.9999,0.331,Stable,V-Band (Green),MAGNESIUM,,,5200,20h30m20.0s -22d30m53s,1.64,0.9999,0.36,Stable,V-Band (Green),MAGNESIUM,,,460,15h55m06.7s -23d17m47s,0.87,0.9999,0.192,Forming,K-Band (IR),PROTO-MATTER,,,160000,13h23m03.3s -68d17m13s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2200,22h15m40.0s +46d18m47s,1.72,0.9999,0.378,High-Tension,B/V (Violet),CALCIUM,,,5200,09h00m20.0s +05d30m51s,1.64,0.9999,0.36,Stable,V-Band (Green),MAGNESIUM,,,5500,21h31m31.0s -14d12m48s,2.53,0.9999,0.557,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,1344,05h15m56.3s -03d50m21s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,7000,20h54m15.8s -12d26m10s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8503,14h05m41.8s -59d53m05s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4101,19h44m14.3s -23d58m51s,1.78,0.8846,0.501,Collapse,X-Ray / Gamma,SINGULARITY,,,5200,20h28m35.4s -22d31m23s,1.21,0.8104,0.406,Collapse,X-Ray / Gamma,SINGULARITY,,,460,15h51m36.3s -23d10m57s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,160002,13h47m07.6s -68d34m35s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2203,22h52m36.0s +46d33m14s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5200,08h56m11.2s +05d28m26s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5501,21h37m52.2s -14d07m52s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
