SECTION C,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
Regime,CORREL,0.8462204674,-0.04328742418,7,,,,IRON (Fe-56),71,,,CORREL,0.95516244,-0.08961936438,2,,,,IRON (Fe-56),78,,CORREL,0.7988089985,-0.3252583879,3,,,,IRON (Fe-56),83,,CORREL,0.8965063959,0.1729080733,6,,,,IRON (Fe-56),73,,CORREL,0.8977882924,-0.4601183742,6,,,,IRON (Fe-56),63,,CORREL,0.9061453761,0.2049388957,6,,,,IRON (Fe-56),74,,CORREL,0.9311424547,-0.1321172036,11,,,,IRON (Fe-56),69,,CORREL,0.94576856,0.04751848834,11,,,,IRON (Fe-56),67,,CORREL,0.9597873235,-0.01437685852,6,,,,IRON (Fe-56),81,,CORREL,0.9430191782,-0.1494171782,8,,,,IRON (Fe-56),80
C. Main Sequence,RSQ,0.7160890794,0.001873801093,,,,,SINGULARITY,15,,,RSQ,0.9123352868,0.008031630472,,,,,PROTO-MATTER,10,,RSQ,0.6380958161,0.1057930189,,,,,PROTO-MATTER,14,,RSQ,0.8037237178,0.02989720182,,,,,SINGULARITY,12,,RSQ,0.806023818,0.2117089183,,,,,SINGULARITY,19,,RSQ,0.8210994426,0.04199995097,,,,,SINGULARITY,16,,RSQ,0.867026271,0.01745495549,,,,,SINGULARITY,19,,RSQ,0.8944781692,0.002258006734,,,,,DARK MATTER,11,,RSQ,0.9211917064,0.000206694061,,,,,SINGULARITY,14,,RSQ,0.8892851704,0.02232549313,,,,,SINGULARITY,16
,SLOPE,3.497280025,-0.04057367383,,,,,PROTO-MATTER,8,,,SLOPE,3.827928506,-0.03873692704,,,,,SINGULARITY,9,,SLOPE,3.082744288,-0.2503069022,,,,,SINGULARITY,9,,SLOPE,4.809891463,0.2020517161,,,,,PROTO-MATTER,11,,SLOPE,2.746877138,-0.1782628267,,,,,PROTO-MATTER,8,,SLOPE,4.731640091,0.2180085269,,,,,DARK MATTER,6,,SLOPE,4.072739595,-0.06403381409,,,,,DARK MATTER,11,,SLOPE,4.393635583,0.03007153103,,,,,PROTO-MATTER,11,,SLOPE,4.323037879,-0.006867406379,,,,,PROTO-MATTER,8,,SLOPE,3.659230953,-0.06853577812,,,,,PROTO-MATTER,9
,INTERCEPT,0.2391981233,0.9802258475,,,,,DARK MATTER,7,,,INTERCEPT,0.1699763487,0.9887681907,,,,,MAGNESIUM,6,,INTERCEPT,0.4020187564,1.061869453,,,,,CALCIUM,4,,INTERCEPT,-0.1262978377,0.9113123165,,,,,DARK MATTER,6,,INTERCEPT,0.4712891059,1.026988197,,,,,DARK MATTER,6,,INTERCEPT,-0.1253208662,0.8993340343,,,,,HELIUM/CARBON,5,,INTERCEPT,0.05347527638,0.9853776422,,,,,PROTO-MATTER,9,,INTERCEPT,-0.004576975641,0.9687729855,,,,,HELIUM/CARBON,9,,INTERCEPT,-0.003501228612,0.9739045176,,,,,DARK MATTER,7,,INTERCEPT,0.2006175627,0.995648091,,,,,DARK MATTER,8
,,,,,,,,CALCIUM,6,,,,,,,,,,CALCIUM,3,,,,,,,,,DARK MATTER,3,,,,,,,,,CALCIUM,4,,,,,,,,,HELIUM/CARBON,4,,,,,,,,,MAGNESIUM,5,,,,,,,,,HELIUM/CARBON,4,,,,,,,,,SINGULARITY,8,,,,,,,,,MAGNESIUM,4,,,,,,,,,MAGNESIUM,6
,,,,0.9999,,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,
Target Coordinate,,,2.8,0.6097,0.3070884956,,,,,,,,,6.12,0.5755,0.3319557522,,,,,,,,3.01,0.6771,0.3077256637,,,,,,,,3.11,0.5816,0.2914070796,,,,,,,,4.33,0.5803,0.3426637168,,,,,,,,3.34,0.5034,0.3031769912,,,,,,,,6.13,0.5882,0.332840708,,,,,,,,3.46,0.7022,0.3109272727,,,,,,,,8.23,0.5954,0.3238672566,,,,,,,,5.67,0.5908,0.3214867257,,,,
J064508.91-164258.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,,J183656.33+384701.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J023149.09+891550.7,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J034724.00+240700.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J141539.67+191056.6,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J073918.11+051329.9,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J143936.49-605002.3,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J162924.46-262555.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J051432.27-081205.8,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J195046.99+085205.9,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,
,9,07h44m42.7s -15d10m15s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,,25,17h40m06.9s +37d57m06s,1.01,0.9999,0.222,Forming,K-Band (IR),PROTO-MATTER,,,433,01h46m07.3s +87d16m15s,1.09,0.9999,0.24,Forming,K-Band (IR),PROTO-MATTER,,,444,04h45m12.8s +22d58m27s,1.52,0.9999,0.334,Stable,V-Band (Green),MAGNESIUM,,,37,15h09m00.5s +17d13m27s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11,08h25m10.5s +06d27m01s,1.63,0.9999,0.359,Stable,V-Band (Green),MAGNESIUM,,,4,15h25m44.7s -58d57m18s,1.73,0.9999,0.381,High-Tension,B/V (Violet),CALCIUM,,,550,16h43m14.7s -24d25m56s,1.24,0.9999,0.272,Forming,K-Band (IR),PROTO-MATTER,,,860,06h22m50.4s -06d17m58s,1.17,0.9999,0.258,Forming,K-Band (IR),PROTO-MATTER,,,17,19h39m26.1s +09d19m60s,0.91,0.9705,0.212,Forming,K-Band (IR),PROTO-MATTER,
,9,07h46m40.3s -15d05m42s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,25,17h39m12.7s +37d55m42s,1.3,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,433,01h45m13.5s +87d13m17s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,445,04h51m27.6s +22d57m35s,0.79,0.8204,0.26,Collapse,X-Ray / Gamma,SINGULARITY,,,37,15h10m55.2s +17d07m30s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11,08h26m32.2s +06d30m33s,1.29,0.9999,0.284,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4,15h28m10.5s -58d48m52s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,550,16h41m30.3s -24d19m57s,0.55,0.7159,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,860,06h22m49.6s -06d14m51s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,17,19h38m08.5s +09d22m23s,1.28,0.9999,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
