SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
Regime,CORREL,0.9573540982,0.0381567006,4,,,,IRON (Fe-56),65,,,CORREL,0.9485249608,-0.2378983554,12,,,,IRON (Fe-56),69,,CORREL,0.9538267449,0.06026433923,6,,,,IRON (Fe-56),81,,CORREL,0.8795914619,-0.1248517425,4,,,,IRON (Fe-56),79,,CORREL,0.9126354791,0.1356674929,6,,,,IRON (Fe-56),67,,CORREL,0.8754508814,-0.2597755088,4,,,,IRON (Fe-56),82,,CORREL,0.9586628781,-0.2141856674,10,,,,IRON (Fe-56),77,,CORREL,0.866486082,-0.1095005984,9,,,,IRON (Fe-56),73,,CORREL,0.9517594599,-0.2001845204,5,,,,IRON (Fe-56),81,,CORREL,0.7460264196,-0.1600071695,11,,,,IRON (Fe-56),67
D. Dark Sector,RSQ,0.9165268694,0.001455933801,,,,,SINGULARITY,16,,,RSQ,0.8996996012,0.05659562752,,,,,SINGULARITY,13,,RSQ,0.9097854594,0.003631790583,,,,,SINGULARITY,14,,RSQ,0.7736811398,0.01558795762,,,,,SINGULARITY,11,,RSQ,0.8329035177,0.01840566863,,,,,SINGULARITY,13,,RSQ,0.7664142458,0.06748331496,,,,,SINGULARITY,10,,RSQ,0.9190345138,0.04587550012,,,,,DARK MATTER,13,,RSQ,0.7507981303,0.01199038105,,,,,PROTO-MATTER,12,,RSQ,0.9058460696,0.04007384223,,,,,SINGULARITY,14,,RSQ,0.5565554187,0.02560229428,,,,,SINGULARITY,21
,SLOPE,4.263532383,0.01880219961,,,,,PROTO-MATTER,14,,,SLOPE,3.651645055,-0.06028950445,,,,,DARK MATTER,12,,SLOPE,4.47981899,0.03625034392,,,,,DARK MATTER,7,,SLOPE,2.86812785,-0.06536352318,,,,,HELIUM/CARBON,7,,SLOPE,4.403322322,0.1248629432,,,,,PROTO-MATTER,7,,SLOPE,3.106699851,-0.1301607537,,,,,PROTO-MATTER,9,,SLOPE,3.351725714,-0.07842866414,,,,,PROTO-MATTER,11,,SLOPE,3.797110174,-0.08741869196,,,,,SINGULARITY,11,,SLOPE,3.26571234,-0.07614480019,,,,,PROTO-MATTER,10,,SLOPE,3.063125722,-0.1711116895,,,,,DARK MATTER,15
,INTERCEPT,0.01042591268,0.9604577789,,,,,DARK MATTER,5,,,INTERCEPT,0.2058638584,0.9960638997,,,,,CALCIUM,5,,INTERCEPT,-0.04484778462,0.9612845402,,,,,HELIUM/CARBON,6,,INTERCEPT,0.4580794999,0.9950823419,,,,,PROTO-MATTER,6,,INTERCEPT,-0.01790100182,0.931839358,,,,,DARK MATTER,6,,INTERCEPT,0.3824933542,1.017566142,,,,,DARK MATTER,4,,INTERCEPT,0.2961662616,1.002951286,,,,,SINGULARITY,11,,INTERCEPT,0.1611358247,1.002450159,,,,,DARK MATTER,10,,INTERCEPT,0.317373176,0.9988577596,,,,,DARK MATTER,7,,INTERCEPT,0.3453983523,1.016537595,,,,,PROTO-MATTER,10
,,,,,,,,HELIUM/CARBON,4,,,,,,,,,,PROTO-MATTER,5,,,,,,,,,PROTO-MATTER,6,,,,,,,,,DARK MATTER,4,,,,,,,,,HELIUM/CARBON,5,,,,,,,,,HELIUM/CARBON,3,,,,,,,,,CALCIUM,3,,,,,,,,,CALCIUM,4,,,,,,,,,HELIUM/CARBON,4,,,,,,,,,CALCIUM,6
,,,,0.9999,,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,
Target Coordinate,,,6.16,0.5864,0.3224954955,,,,,,,,,9.82,0.7087,0.3434336283,,,,,,,,5.72,0.5229,0.3171327434,,,,,,,,4.43,0.56,0.3192566372,,,,,,,,3.06,0.5351,0.3069375,,,,,,,,4.57,0.5812,0.3326283186,,,,,,,,6.42,0.6662,0.3128849558,,,,,,,,3.21,0.6442,0.2974159292,,,,,,,,6.89,0.6493,0.3151061947,,,,,,,,1.88,0.5376,0.2897168142,,,,
J163554.00+661300.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,,J065830.00-555636.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J131129.50-012028.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J023952.90-013408.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J125948.70+275850.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J031948.10+413042.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J140102.30+025242.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J001419.50-302319.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J002635.70+170943.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J134730.70-114510.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,
,2345000,12h13m15.1s +64d15m29s,2.1,0.8348,0.661,Collapse,X-Ray / Gamma,SINGULARITY,,,,3700000,07h44m52.3s -54d38m27s,1.09,0.8818,0.309,Collapse,X-Ray / Gamma,SINGULARITY,,,2250000,09h12m21.3s +00d12m18s,1.73,0.9999,0.38,High-Tension,B/V (Violet),CALCIUM,,,4000000,10h22m54.6s -03d18m46s,2.25,0.9999,0.495,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,321000,04h29m49.7s +29d36m25s,1.59,0.9999,0.35,Stable,V-Band (Green),MAGNESIUM,,,240000,03h42m46.9s +41d49m25s,1.68,0.9999,0.369,High-Tension,B/V (Violet),CALCIUM,,,3500000,12h15m52.9s +01d22m43s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,3500000,22h29m12.1s -31d53m36s,1.18,0.9999,0.26,Forming,K-Band (IR),PROTO-MATTER,,,4000000,08h09m39.0s +15d24m34s,2.25,0.9999,0.495,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4500000,08h06m26.2s -11d23m03s,1.76,0.9999,0.387,High-Tension,B/V (Violet),CALCIUM,
,2378445,06h50m52.3s +65d34m03s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,3780268,23h51m19.2s -54d33m37s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2290134,07h17m38.9s +00d18m49s,1.31,0.9999,0.287,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4066890,20h48m17.2s -01d31m55s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,351100,19h47m06.1s +26d44m08s,0.65,0.8029,0.223,Collapse,X-Ray / Gamma,SINGULARITY,,,248361,07h00m17.9s +41d43m47s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3523411,22h50m25.1s +00d51m54s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3586957,18h29m05.1s -32d29m55s,1.32,0.9999,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4240803,08h26m17.7s +15d01m23s,1.39,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4660535,16h26m58.7s -11d23m37s,1.38,0.9999,0.303,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
