SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
Regime,CORREL,0.9379842446,-0.1110138111,6,,,,IRON (Fe-56),74,,,CORREL,0.9358259692,-0.1785029778,7,,,,IRON (Fe-56),70,,CORREL,0.8277821112,-0.065201415,2,,,,IRON (Fe-56),80,,CORREL,0.9578584111,-0.06338147542,10,,,,IRON (Fe-56),68,,CORREL,0.8808508705,0.3096428561,3,,,,IRON (Fe-56),65,,CORREL,0.9841030969,0.09686066811,5,,,,IRON (Fe-56),78,,CORREL,0.9368585108,-0.09255148698,6,,,,IRON (Fe-56),78,,CORREL,0.9314318119,-0.0907281744,5,,,,IRON (Fe-56),76,,CORREL,0.9138003877,-0.0648212648,8,,,,IRON (Fe-56),72,,CORREL,0.9614097675,0.08766622107,10,,,,IRON (Fe-56),70
F. Fermi Bubbles,RSQ,0.8798144431,0.01232406627,,,,,SINGULARITY,10,,,RSQ,0.8757702446,0.03186331308,,,,,SINGULARITY,14,,RSQ,0.6852232236,0.004251224517,,,,,SINGULARITY,16,,RSQ,0.9174927357,0.004017211427,,,,,PROTO-MATTER,14,,RSQ,0.775898256,0.09587869834,,,,,SINGULARITY,17,,RSQ,0.9684589053,0.009381989027,,,,,SINGULARITY,13,,RSQ,0.8777038693,0.008565777742,,,,,SINGULARITY,17,,RSQ,0.8675652202,0.008231601631,,,,,PROTO-MATTER,14,,RSQ,0.8350311486,0.00420179637,,,,,SINGULARITY,12,,RSQ,0.9243087411,0.007685366317,,,,,SINGULARITY,20
,SLOPE,3.461869372,-0.03582093551,,,,,PROTO-MATTER,9,,,SLOPE,3.847676887,-0.05607201555,,,,,PROTO-MATTER,11,,SLOPE,3.817980382,-0.0628419304,,,,,PROTO-MATTER,10,,SLOPE,4.175431364,-0.02087033039,,,,,DARK MATTER,10,,SLOPE,4.94787392,0.4276684668,,,,,PROTO-MATTER,11,,SLOPE,4.567509929,0.03736921973,,,,,DARK MATTER,6,,SLOPE,3.359132816,-0.03671575802,,,,,DARK MATTER,7,,SLOPE,4.164996218,-0.04973979338,,,,,SINGULARITY,12,,SLOPE,3.579447394,-0.0408331492,,,,,DARK MATTER,11,,SLOPE,4.441339168,0.05156516447,,,,,DARK MATTER,12
,INTERCEPT,0.303758984,0.99380284,,,,,HELIUM/CARBON,7,,,INTERCEPT,0.1457481279,0.9949451821,,,,,DARK MATTER,7,,INTERCEPT,0.1337991211,0.9830787053,,,,,HELIUM/CARBON,7,,INTERCEPT,0.0562737272,0.9829042739,,,,,SINGULARITY,10,,INTERCEPT,-0.2034923692,0.8295323533,,,,,CALCIUM,5,,INTERCEPT,-0.06121028525,0.9618910262,,,,,HELIUM/CARBON,6,,INTERCEPT,0.2900446285,0.9793401562,,,,,PROTO-MATTER,6,,INTERCEPT,0.05065857833,0.9910232601,,,,,DARK MATTER,7,,INTERCEPT,0.233937511,0.9870362657,,,,,MAGNESIUM,9,,INTERCEPT,-0.05653466581,0.9448362496,,,,,PROTO-MATTER,8
,,,,,,,,DARK MATTER,6,,,,,,,,,,HELIUM/CARBON,4,,,,,,,,,DARK MATTER,2,,,,,,,,,HELIUM/CARBON,5,,,,,,,,,DARK MATTER,3,,,,,,,,,PROTO-MATTER,5,,,,,,,,,MAGNESIUM,5,,,,,,,,,CALCIUM,4,,,,,,,,,PROTO-MATTER,9,,,,,,,,,HELIUM/CARBON,5
,,,,0.9999,,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,
Target inate,,,4.78,0.6888,0.3354247788,,,,,,,,,9.01,0.7002,0.3212035398,,,,,,,,3.57,0.5673,0.3176106195,,,,,,,,7.82,0.6779,0.3274196429,,,,,,,,3.51,0.4688,0.2940892857,,,,,,,,9.49,0.4999,0.3281327434,,,,,,,,6.57,0.5759,0.3310973451,,,,,,,,5.62,0.6599,0.3098230088,,,,,,,,3.43,0.4501,0.3128938053,,,,,,,,6.22,0.5117,0.3216283186,,,,
 J174540.04-290028.1,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,, J150000.00+100000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J180000.00-600000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J120000.00+300000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J193000.00-150000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J164000.00+450000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J183000.00-450000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J141500.00+250000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J174500.00+550000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,, J231200.00-453000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,
,26000,06h08m40.6s -27d04m41s,1.61,0.9999,0.354,Stable,V-Band (Green),MAGNESIUM,,,,28000,05h59m37.8s +08d00m07s,1.09,0.9999,0.239,Forming,K-Band (IR),PROTO-MATTER,,,30000,08h34m20.2s -58d01m52s,2.48,0.9999,0.545,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,32000,03h27m19.9s +28d09m23s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,27000,09h23m14.5s -14d41m28s,3.51,0.9999,0.771,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,35000,10h40m22.4s +43d39m59s,1.74,0.9999,0.384,High-Tension,B/V (Violet),CALCIUM,,,31000,09h00m08.1s -45d34m01s,1.61,0.9999,0.353,Stable,V-Band (Green),MAGNESIUM,,,29000,05h19m51.6s +25d07m56s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,40000,14h44m52.2s +54d25m56s,1.43,0.9999,0.314,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,26500,12h19m01.9s -47d10m42s,1.2,0.9999,0.264,Forming,K-Band (IR),PROTO-MATTER,
,26017,07h32m40.3s -29d04m30s,0.63,0.7478,0.25,Collapse,X-Ray / Gamma,SINGULARITY,,,,28050,04h15m38.0s +11d14m53s,1.34,0.9999,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,30201,10h04m25.2s -62d10m10s,0.94,0.886,0.265,Collapse,X-Ray / Gamma,SINGULARITY,,,32067,03h02m01.6s +29d30m40s,0.49,0.8342,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,27067,08h37m04.5s -16d28m21s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,35281,10h29m44.4s +45d34m22s,1.44,0.9999,0.316,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,31201,10h57m21.8s -45d07m40s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,29033,05h38m10.0s +23d57m35s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,40054,13h24m49.5s +57d04m43s,3.43,0.8418,1.066,Collapse,X-Ray / Gamma,SINGULARITY,,,26517,12h47m37.2s -46d58m56s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
