--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---
--- IMAGE REDIRECT ACTIVE ---
--- INITIATING DEEP DRILL SCAN ---
Target: RA 17.761, DEC -29.008
Volume: 26000 to 26000.1 XYZ

XYZ      | Coordinate             | PULL   | Sync   | m      | Stab.         | Band            | IDENTITY
----------------------------------------------------------------------------------------------------------------------
26000    | 06h08m40.6s -27d04m41s | 1.61   | 0.9999 | 0.354  | Stable        | V-Band (Green)  | MAGNESIUM
26000    | 06h08m03.3s -27d01m47s | 1.41   | 0.9999 | 0.310  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 06h05m34.0s -26d50m10s | 1.29   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 06h03m42.0s -26d41m28s | 1.91   | 0.8982 | 0.521  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 06h03m04.6s -26d38m34s | 1.32   | 0.9999 | 0.290  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 06h02m27.3s -26d35m39s | 1.04   | 0.9999 | 0.229  | Forming       | K-Band (IR)     | PROTO-MATTER
26000    | 06h01m49.9s -26d32m45s | 1.51   | 0.7678 | 0.563  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 06h01m12.6s -26d29m51s | 1.28   | 0.9999 | 0.281  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h57m28.2s -26d12m26s | 0.67   | 0.7721 | 0.248  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 05h56m13.4s -26d06m38s | 1.38   | 0.9999 | 0.305  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h55m36.0s -26d03m43s | 1.28   | 0.9999 | 0.282  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h53m43.6s -25d55m01s | 1.40   | 0.9999 | 0.308  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h49m58.8s -25d37m36s | 1.80   | 0.9999 | 0.397  | High-Tension  | B/V (Violet)    | CALCIUM
26000    | 05h46m51.3s -25d23m05s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h45m36.3s -25d17m17s | 2.63   | 0.7380 | 1.062  | Collapse      | X-Ray / Gamma   | SINGULARITY
26000    | 05h43m43.7s -25d08m35s | 1.69   | 0.9958 | 0.375  | High-Tension  | B/V (Violet)    | CALCIUM
26000    | 05h41m51.0s -24d59m52s | 1.28   | 0.9999 | 0.283  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h37m27.8s -24d39m34s | 1.69   | 0.9999 | 0.373  | High-Tension  | B/V (Violet)    | CALCIUM
26000    | 05h36m50.2s -24d36m40s | 1.42   | 0.9999 | 0.311  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h35m35.0s -24d30m52s | 1.36   | 0.9999 | 0.300  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h34m57.3s -24d27m57s | 1.44   | 0.9999 | 0.317  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h31m11.4s -24d10m33s | 1.49   | 0.9999 | 0.327  | Stable        | V-Band (Green)  | MAGNESIUM
26000    | 05h29m56.0s -24d04m45s | 1.43   | 0.9999 | 0.314  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
26000    | 05h25m32.1s -23d44m27s | 1.31   | 0.9999 | 0.288  | MAX STABILITY | V-Band (Yellow) | IRON (Fe-56)
