SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
Regime,CORREL,0.9231217901,0.1023327509,5,,,,IRON (Fe-56),56,,,CORREL,0.9494625612,-0.2083591476,6,,,,IRON (Fe-56),73,,CORREL,0.9454486556,0.007885687609,9,,,,IRON (Fe-56),69,,CORREL,0.8715044864,-0.1937493366,6,,,,IRON (Fe-56),73,,CORREL,0.9309804698,-0.2754099064,9,,,,IRON (Fe-56),68,,CORREL,0.844671239,-0.4054656366,4,,,,IRON (Fe-56),78,,CORREL,0.9626788599,0.009519667263,7,,,,IRON (Fe-56),82,,CORREL,0.8014319234,-0.06295071405,5,,,,IRON (Fe-56),72,,CORREL,0.984362077,0.05449461523,8,,,,IRON (Fe-56),72,,CORREL,0.9281568063,-0.1764317751,10,,,,IRON (Fe-56),77
E. Cosmic Voids,RSQ,0.8521538394,0.01047199191,,,,,SINGULARITY,24,,,RSQ,0.9014791551,0.04341353441,,,,,SINGULARITY,14,,RSQ,0.8938731604,0.00006218406906,,,,,SINGULARITY,23,,RSQ,0.7595200698,0.03753880545,,,,,SINGULARITY,15,,RSQ,0.8667246351,0.07585061652,,,,,SINGULARITY,10,,RSQ,0.713469502,0.1644023824,,,,,PROTO-MATTER,9,,RSQ,0.9267505873,0.0000906240648,,,,,SINGULARITY,11,,RSQ,0.6422931278,0.0039627924,,,,,SINGULARITY,18,,RSQ,0.9689686985,0.002969663089,,,,,SINGULARITY,15,,RSQ,0.861475057,0.03112817127,,,,,SINGULARITY,21
,SLOPE,4.090593456,0.06289373962,,,,,PROTO-MATTER,7,,,SLOPE,3.639713694,-0.05825772667,,,,,PROTO-MATTER,10,,SLOPE,3.703508027,0.004000207117,,,,,DARK MATTER,9,,SLOPE,3.676953592,-0.1363840127,,,,,PROTO-MATTER,9,,SLOPE,3.143555742,-0.06408821186,,,,,DARK MATTER,8,,SLOPE,3.025404797,-0.1787775624,,,,,SINGULARITY,9,,SLOPE,4.466763277,0.004642066709,,,,,PROTO-MATTER,9,,SLOPE,3.935845576,-0.06621766447,,,,,PROTO-MATTER,9,,SLOPE,4.533431404,0.01834197918,,,,,HELIUM/CARBON,9,,SLOPE,3.531385875,-0.05493687687,,,,,DARK MATTER,10
,INTERCEPT,0.0246372065,0.9271688701,,,,,DARK MATTER,5,,,INTERCEPT,0.2177426018,0.9966216766,,,,,DARK MATTER,6,,INTERCEPT,0.1746903343,0.9605296687,,,,,PROTO-MATTER,6,,INTERCEPT,0.1124129066,1.00865221,,,,,DARK MATTER,6,,INTERCEPT,0.3939459896,1.006252726,,,,,PROTO-MATTER,6,,INTERCEPT,0.4242696415,1.039885152,,,,,CALCIUM,4,,INTERCEPT,-0.02147907753,0.9805456193,,,,,DARK MATTER,7,,INTERCEPT,0.08986380909,0.9806775167,,,,,MAGNESIUM,7,,INTERCEPT,-0.05101322482,0.9710650287,,,,,DARK MATTER,8,,INTERCEPT,0.2253701881,0.9865252861,,,,,PROTO-MATTER,8
,,,,,,,,HELIUM/CARBON,4,,,,,,,,,,MAGNESIUM,4,,,,,,,,,MAGNESIUM,4,,,,,,,,,MAGNESIUM,5,,,,,,,,,HELIUM/CARBON,5,,,,,,,,,DARK MATTER,4,,,,,,,,,CALCIUM,5,,,,,,,,,DARK MATTER,5,,,,,,,,,MAGNESIUM,6,,,,,,,,,HELIUM/CARBON,3
,,,,0.9999,,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,,,,,,0.9999,,,,,
Target Coordinate,,,5.69,0.639,0.3183846154,,,,,,,,,8.05,0.4923,0.347840708,,,,,,,,5.65,0.3691,0.3177767857,,,,,,,,5.78,0.6333,0.3121946903,,,,,,,,6.84,0.6314,0.3273716814,,,,,,,,5.02,0.4398,0.3422566372,,,,,,,,5.7,0.676,0.3077345133,,,,,,,,4.16,0.4467,0.305539823,,,,,,,,8.33,0.4579,0.340699115,,,,,,,,8.92,0.5977,0.3358849558,,,,
J142000.00+460000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,,J031000.00-193500.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J183800.00+185031.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J070450.40-250643.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J153030.00+150643.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J043030.00+300643.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J234830.00-243907.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J220643.20+150643.2,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J214300.00-144000.0,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,,J232000.00-123151.6,XYZ,Coordinate,PULL,Sync,m,Stab.,Band,IDENTITY,
,700000,03h23m55.0s +45d06m48s,1.46,0.9999,0.322,Stable,V-Band (Green),MAGNESIUM,,,,3000000,15h02m17.2s -18d48m15s,1.08,0.9999,0.238,Forming,K-Band (IR),PROTO-MATTER,,,20000,03h56m58.2s +17d38m43s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,150000,09h19m06.0s -23d50m38s,1.47,0.9999,0.324,Stable,V-Band (Green),MAGNESIUM,,,60000,20h44m19.5s +16d59m18s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,185000,00h01m04.0s +28d06m50s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,170000,13h48m20.0s -26d38m60s,1.78,0.9999,0.391,High-Tension,B/V (Violet),CALCIUM,,,180000,15h38m29.6s +16d05m19s,1.54,0.9999,0.339,Stable,V-Band (Green),MAGNESIUM,,,215000,08h21m47.5s -16d37m08s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,275000,16h41m45.7s -14d12m40s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,2372241,23h25m41.2s +45d15m09s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,13033445,16h23m56.2s -17d27m45s,1.45,0.9999,0.318,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,24013,07h28m06.0s +18d48m33s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,153344,12h26m02.6s -27d04m38s,1.08,0.7548,0.416,Collapse,X-Ray / Gamma,SINGULARITY,,,62676,23h01m20.1s +17d18m29s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,193027,06h07m08.6s +29d18m19s,1.19,0.9246,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,173010,14h49m01.9s -23d36m55s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,181171,15h49m59.1s +14d55m24s,1.42,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,218344,11h35m56.5s -12d39m45s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,283027,20h59m22.9s -14d14m21s,1.28,0.9999,0.281,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
