SECTOR A,Singularities,,,,,ANALYSIS,
Regime,Count,Description,,,,,
A. Singularities,10,"Supermassive Black Holes (Sgr A*, M87), Neutron Stars (Crab).",,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
J174540.04-290028.1,17.761,-29.008,"26,000",10,Sgr A*,Average OFFSET,37.7993756
J123049.42+122328.0,12.513,12.391,"16,000",10,M87 Core,Max OFFSET,226.33
J195821.67+351205.7,19.972,35.201,"7,300",10,Cyg X-1,Number of Close Matches(OFFSET < 1 arcsecond),145
J053431.97+220052.0,5.576,22.015,"6,500",10,Crab Pulsar,No SIMBAD Match,0
J083520.61-451034.8,8.589,-45.176,930,10,Vela Pulsar,Accuracy Rate,99.50%
J063354.15+174612.9,6.565,17.77,800,10,Geminga,,
J191149.56+045857.8,19.197,4.981,"18,000",10,SS 433,Structure Type,Count
J204020.30+335202.9,20.401,33.867,"7,800",10,Cyg X-3,Gasious Substrate Schema,1065
J165901.59-395044.9,16.901,-39.845,"11,000",10,GRO J1655-40,Minkowskian Baseline,647
J191506.24+105644.8,19.253,10.945,"28,000",10,GRS 1915+105,Metric Spacetime Anomaly,643
Scan Output,,,,,,Trefoil Metric Schema,518
TA1,,,,,,Solenoidal Metric Schema (Iron),498
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Helical Metric Schema,334
--- IMAGE REDIRECT ACTIVE ---,,,,,,Localized Torsional Inflection,281
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Baryonic Metric Substrate,165
"Target: RA 17.761, DEC -29.008",,,,,,Spacetime Curvature Limit (Black Hole),29
Depth: 26000 XYZ,Radius: 10,,,,,PREDICTED IDENTITY,10
Scanning Volume... Sampling 418 points.,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,TA1,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Closest OFFSET,0.02
17h45m35.25s -29d01m10.94s,0.2758,84.429,Gasious Substrate Schema,3.64,MATCH: [MES2015] 1349 (smm),Average OFFSET,2.472296651
17h45m43.88s -29d00m50.87s,0.3288,2.1238,Helical Metric Schema,2.42,MATCH: [FJ95] 54 (*),Max OFFSET,10.06
17h45m37.94s -29d00m41.21s,0.2137,121.8388,Minkowskian Baseline,0.41,MATCH: [FNS2015] 2497 (*),Number of Close Matches(OFFSET < 1 arcsecond),97
17h45m36.48s -29d00m56.83s,0.3173,2.6986,Solenoidal Metric Schema (Iron),1.43,MATCH: CXOGC J174536.6-290058 (X),,
17h45m43.79s -29d00m27.41s,0.2755,70.185,Gasious Substrate Schema,0.26,MATCH: GCIRS 29NE (*),No SIMBAD Match,0
17h45m36.67s -29d00m06.86s,0.9656,59.1826,Baryonic Metric Substrate,3.54,MATCH: CXOGC J174536.5-290010 (X),,
17h45m39.37s -29d00m24.85s,0.2254,120.4599,Gasious Substrate Schema,0.05,MATCH: [OEG99] 218 (IR),Structure Type,Count
17h45m36.43s -29d00m42.01s,0.2081,212.5352,Minkowskian Baseline,2.49,MATCH: [MBB2008] G359.933-0.037 (X),Gasious Substrate Schema,123
17h45m39.76s -29d00m07.92s,0.2811,88.8639,Solenoidal Metric Schema (Iron),0.79,MATCH: NAME Sgr A West Filament (Rad),Trefoil Metric Schema,67
17h45m35.33s -29d01m07.56s,0.2926,101.9518,Solenoidal Metric Schema (Iron),5.24,MATCH: CXOGC J174535.1-290102 (X),Metric Spacetime Anomaly,65
17h45m40.06s -29d00m28.43s,0.5135,392.9492,Localized Torsional Inflection,0.06,MATCH: [EG97] S9 (*),Minkowskian Baseline,61
17h45m39.62s -28d59m58.71s,0.4549,19.8672,Metric Spacetime Anomaly,1.68,MATCH: [FNS2015] 134 (*),Solenoidal Metric Schema (Iron),39
17h45m39.40s -29d00m46.17s,0.1788,19.8937,Minkowskian Baseline,0.39,MATCH: [FNS2015] 851 (*),Helical Metric Schema,26
17h45m35.69s -29d00m38.83s,0.3435,155.1777,Helical Metric Schema,3.83,MATCH: CXOU J174535.6-290034 (X),Localized Torsional Inflection,20
17h45m35.58s -29d00m11.97s,0.4958,95.4973,Metric Spacetime Anomaly,0.53,MATCH: CXOGC J174535.6-290012 (X),Baryonic Metric Substrate,13
17h45m36.85s -28d59m33.58s,0.2393,16.7119,Gasious Substrate Schema,8.38,MATCH: CXOGC J174536.2-285930 (X),Spacetime Curvature Limit (Black Hole),4
17h45m42.17s -28d59m51.23s,0.3028,31.9963,Solenoidal Metric Schema (Iron),3.02,MATCH: [BSD96] 124 (*),,
17h45m39.22s -29d00m39.68s,0.3459,9.9566,Helical Metric Schema,1.04,MATCH: [ZKF2008] -11.45-10 (*),,
17h45m42.41s -28d59m24.14s,0.4286,32.9754,Trefoil Metric Schema,3.48,MATCH: CXOGC J174542.4-285927 (X),,
17h45m41.53s -29d00m59.06s,0.2979,233.2306,Solenoidal Metric Schema (Iron),2,MATCH: [YRW2013] 18 (out),,
17h45m41.36s -29d00m43.86s,0.4059,147.5294,Trefoil Metric Schema,2.13,MATCH: [FNS2015] 338 (*),,
17h45m35.78s -29d00m03.47s,0.9608,12.3723,Baryonic Metric Substrate,2.25,MATCH: [MBB2008] G359.941-0.029 (X),,
17h45m39.50s -28d59m33.58s,0.2997,18.5111,Solenoidal Metric Schema (Iron),0.65,MATCH: CXOGC J174539.4-285934 (X),,
17h45m38.74s -28d59m19.00s,0.2719,62.8633,Gasious Substrate Schema,8.5,MATCH: CXOGC J174538.1-285916 (X),,
17h45m36.59s -29d01m01.91s,0.251,28.6867,Gasious Substrate Schema,4.13,MATCH: CXOGC J174536.6-290058 (X),,
17h45m42.08s -29d01m16.58s,0.6035,25.6769,Metric Spacetime Anomaly,4.64,MATCH: CXOGC J174541.9-290120 (X),,
17h45m38.06s -29d00m29.62s,0.2189,76.8217,Minkowskian Baseline,1.41,MATCH: [FNS2015] 591 (*),,
17h45m39.08s -29d00m46.40s,0.6064,20.2214,Metric Spacetime Anomaly,0.83,MATCH: [FNS2015] 268 (*),,
17h45m34.85s -29d00m36.58s,0.2709,29.7725,Gasious Substrate Schema,3.84,MATCH: CXOGC J174534.8-290040 (X),,
17h45m41.03s -29d01m12.45s,0.2269,9.1141,Gasious Substrate Schema,2.58,MATCH: CXOGC J174541.2-290113 (X),,
17h45m34.42s -29d00m42.80s,0.341,28.7702,Helical Metric Schema,3.72,MATCH: CXOGC J174534.3-290046 (X),,
17h45m40.22s -29d00m41.42s,0.2205,230.8392,Gasious Substrate Schema,0.59,MATCH: [FNS2015] 597 (*),,
17h45m37.25s -29d00m45.54s,0.2333,329.887,Gasious Substrate Schema,0.2,MATCH: [GMC2001]  3-270 (Mi*),,
17h45m36.95s -29d01m28.82s,0.2806,55.9327,Solenoidal Metric Schema (Iron),3.54,MATCH: CXOGC J174536.6-290128 (X),,
17h45m38.12s -29d00m30.31s,0.358,13.1618,Helical Metric Schema,1.58,MATCH: [FNS2015] 591 (*),,
17h45m38.60s -29d01m37.28s,0.2477,91.3796,Gasious Substrate Schema,0.88,MATCH: [NS2013] 58 (*),,
17h45m36.23s -29d00m19.63s,0.2423,27.8131,Gasious Substrate Schema,3.91,MATCH: [FJ95] 39 (*),,
17h45m38.48s -29d01m13.81s,0.2283,141.6131,Gasious Substrate Schema,1.22,MATCH: [KRL2007b] 270 (gam),,
17h45m36.82s -29d00m50.72s,0.3812,40.1532,Trefoil Metric Schema,2.78,MATCH: [MBB2008] G359.933-0.039 (X),,
17h45m34.98s -28d59m53.47s,0.2666,141.7775,Gasious Substrate Schema,6.36,MATCH: CXOGC J174534.4-285951 (X),,
17h45m44.05s -29d00m55.27s,0.3857,105.893,Trefoil Metric Schema,5.3,MATCH: [FJ95] 54 (*),,
17h45m41.51s -29d00m45.96s,0.2877,70.0989,Solenoidal Metric Schema (Iron),2.39,MATCH: CXOU J174541.5-290043 (X),,
17h45m39.84s -29d00m49.71s,0.2551,31.5059,Gasious Substrate Schema,0.5,MATCH: [FNS2015] 736 (*),,
17h45m35.08s -29d00m46.56s,0.2198,143.886,Minkowskian Baseline,3.09,MATCH: CXOGC J174535.2-290048 (X),,
17h45m43.10s -29d00m49.03s,0.2902,14.1798,Solenoidal Metric Schema (Iron),0.78,MATCH: CXOGC J174543.1-290049 (X),,
17h45m35.52s -29d00m04.73s,0.227,31.9969,Gasious Substrate Schema,2.18,MATCH: [MBB2008] G359.941-0.029 (X),,
