SECTOR B,Stellar Nurseries,,,,,ANALYSIS,
Regime,Count,Description,,,,,
B. Stellar Nurseries,10,"Star-forming regions (Orion, Eagle Nebula).",,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.04
J053517.30-052328.0,5.588,-5.391,"1,344",10,Orion Nebula,Average OFFSET,26.08072505
J181848.00-134900.0,18.312,-13.842,"7,000",10,Eagle Nebula,Max OFFSET,291.87
J104351.00-595200.0,10.749,-59.684,"8,500",10,Carina Nebula,Number of Close Matches(OFFSET < 1 arcsecond),226
J180337.00-242312.0,18.041,-24.372,"4,100",10,Lagoon Nebula,No SIMBAD Match,1
J180223.00-230148.0,18.038,-23.031,"5,200",10,Trifid Nebula,Accuracy Rate,99.48%
J162806.00-243230.0,16.468,-24.541,460,10,Rho Ophiuchi,,
J053842.00-690603.0,5.644,-69.101,"160,000",10,Tarantula (LMC),Structure Type,Count
J205917.00+441909.0,20.985,44.318,"2,200",10,N. America Neb,Gasious Substrate Schema,1076
J063213.00+045121.0,6.538,4.998,"5,200",10,Rosette Nebula,Minkowskian Baseline,650
J182026.00-161036.0,18.347,-16.182,"5,500",10,Omega Nebula,Metric Spacetime Anomaly,637
Scan Output,,,,,,Solenoidal Metric Schema (Iron),509
TB1,,,,,,Trefoil Metric Schema,473
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Helical Metric Schema,348
"Target: RA 5.588, DEC -5.391",,,,,,Localized Torsional Inflection,299
Depth: 1344 XYZ,Radius: 10,,,,,Baryonic Metric Substrate,159
Scanning Volume... Sampling 418 points.,,,,,,Spacetime Curvature Limit (Black Hole),29
Structure Detected: 418 metric nodes.,,,,,,PREDICTED IDENTITY,10
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,TB1,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Closest OFFSET,0.6
05h34m21.05s -05d12m18.34s,0.3886,107.3089,Trefoil Metric Schema,5.03,MATCH: [H97b] 21462 (*),Average OFFSET,19.70562201
05h35m56.29s -05d36m30.16s,0.346,124.8445,Helical Metric Schema,28.04,MATCH: 2MASS J05355671-0536026 (*),Max OFFSET,109.73
05h35m36.47s -05d10m50.44s,0.3196,77.0575,Solenoidal Metric Schema (Iron),11.89,MATCH: 2MASS J05353567-0510510 (LM*),Number of Close Matches(OFFSET < 1 arcsecond),3
05h36m49.99s -05d23m29.56s,0.224,144.2714,Gasious Substrate Schema,41.4,MATCH: Gaia DR3 3017352346653696000 (Or*),,
05h36m07.93s -05d25m27.77s,0.245,179.1786,Gasious Substrate Schema,19.82,MATCH: [SKN2015] AzTEC-Ori 474 (mm),No SIMBAD Match,0
05h36m00.82s -05d40m45.36s,0.2461,59.0305,Gasious Substrate Schema,21.2,MATCH: V* V1595 Ori (Or*),,
05h36m18.62s -05d06m48.04s,0.4613,18.4874,Metric Spacetime Anomaly,19.85,MATCH: 2MASS J05361984-0506558 (*),Structure Type,Count
05h36m32.23s -05d22m51.30s,0.2479,26.7685,Gasious Substrate Schema,24.53,MATCH: 2MASS J05363168-0522280 (*),Gasious Substrate Schema,93
05h34m44.21s -05d39m07.42s,0.3092,62.6862,Solenoidal Metric Schema (Iron),31.12,MATCH: V* V474 Ori (TT*),Minkowskian Baseline,79
05h34m05.54s -05d22m38.10s,0.1802,300.0272,Minkowskian Baseline,6.1,MATCH: Haro 4-117 (Em*),Metric Spacetime Anomaly,55
05h34m18.39s -05d14m44.04s,0.3369,78.0231,Helical Metric Schema,14.65,MATCH: 2MASS J05341884-0514569 (*),Solenoidal Metric Schema (Iron),48
05h36m35.23s -05d17m05.59s,0.2647,245.2886,Gasious Substrate Schema,46.9,MATCH: V* V367 Ori (TT*),Trefoil Metric Schema,48
05h35m15.16s -05d35m12.38s,0.3157,159.2253,Localized Torsional Inflection,4.96,MATCH: JW  483 (TT*),Helical Metric Schema,42
05h35m22.88s -05d39m22.37s,0.5171,40.745,Metric Spacetime Anomaly,4.14,MATCH: [RRS2008] 228-3918 (*),Localized Torsional Inflection,31
05h35m42.97s -05d25m48.65s,0.1895,126.8301,Minkowskian Baseline,5.66,MATCH: 2MASS J05354267-0525450 (Or*),Baryonic Metric Substrate,21
05h35m29.14s -05d15m03.84s,0.2278,31.4265,Gasious Substrate Schema,24.86,MATCH: 1E 053302-0517.2 (X),Spacetime Curvature Limit (Black Hole),1
05h35m04.89s -05d20m32.70s,0.2928,52.8143,Solenoidal Metric Schema (Iron),4.76,MATCH: 2MASS J05350462-0520352 (NIR),,
05h36m30.50s -05d14m03.91s,0.4663,177.8769,Metric Spacetime Anomaly,34.43,MATCH: [AD95] 1794 (*),,
05h35m56.13s -05d16m37.37s,0.5773,4.7525,Metric Spacetime Anomaly,6.94,MATCH: 2MASS J05355641-0516318 (Or*),,
05h35m34.48s -05d25m46.85s,0.3389,72.2692,Helical Metric Schema,7.68,MATCH: COUP J053534.1-052541 (X),,
05h34m25.99s -05d22m02.97s,0.3534,43.156,Helical Metric Schema,7.27,MATCH: 2MASS J05342566-0521576 (Or*),,
05h35m53.03s -05d33m54.54s,0.1711,756.8598,Minkowskian Baseline,42.9,MATCH: [SKN2015] AzTEC-Ori 428 (mm),,
05h35m15.93s -05d28m56.59s,0.7105,214.6112,Metric Spacetime Anomaly,3.73,MATCH: V* V2277 Ori (Or*),,
05h35m29.69s -05d34m11.76s,0.3718,105.9201,Trefoil Metric Schema,18.7,MATCH: [DRS2009] 1964 (*),,
05h34m28.30s -05d19m20.58s,0.218,82.1547,Minkowskian Baseline,30.65,MATCH: 2MASS J05342678-0519414 (Or*),,
05h35m30.95s -05d11m30.47s,0.2386,55.808,Gasious Substrate Schema,15.92,MATCH: [DRS2009] 2571 (*),,
05h35m07.50s -05d07m34.78s,0.3765,120.0061,Trefoil Metric Schema,3.64,MATCH: 2MASS J05350740-0507380 (*),,
05h35m31.75s -05d23m12.22s,0.3969,4.6097,Trefoil Metric Schema,8.58,MATCH: COUP J053531.4-052304 (X),,
05h35m14.18s -05d32m03.72s,0.3273,46.2166,Helical Metric Schema,11.96,MATCH: COUP J053513.6-053212 (X),,
05h34m30.91s -05d23m50.08s,0.185,208.6812,Minkowskian Baseline,10.45,MATCH: [SRB2015] p126 (Y*O),,
05h35m09.66s -05d32m16.44s,0.2215,87.5554,Gasious Substrate Schema,13.87,MATCH: [SKN2015] C18O-Ori 141 (MoC),,
05h35m22.97s -05d17m25.62s,0.3697,48.6869,Trefoil Metric Schema,11.44,MATCH: 2MASS J05352237-0517329 (Y*O),,
05h36m06.58s -05d38m59.79s,0.4392,70.2926,Trefoil Metric Schema,13.83,MATCH: [SKN2015] C18O-Ori 233 (MoC),,
05h36m20.16s -05d25m52.74s,1.0726,60.7424,Baryonic Metric Substrate,10.05,MATCH: 2MASS J05362082-0525509 (*),,
05h34m18.49s -05d39m12.22s,0.2182,21.0594,Minkowskian Baseline,7.13,MATCH: [DRH2012] 1737 (*),,
05h35m58.60s -05d31m44.04s,0.2382,82.7029,Gasious Substrate Schema,21.63,MATCH: 2MASS J05355761-0531598 (*),,
05h35m46.23s -05d27m53.04s,0.4531,104.8725,Metric Spacetime Anomaly,21.89,MATCH: V* AP Ori (Or*),,
05h34m35.60s -05d28m21.07s,0.1601,50.6709,Minkowskian Baseline,23.52,MATCH: Gaia DR3 3017269951996082048 (*),,
05h36m02.51s -05d27m26.58s,1.1346,100.416,Baryonic Metric Substrate,5.39,MATCH: [H97b] 20925 (*),,
05h35m17.45s -05d04m12.02s,0.2475,30.1803,Gasious Substrate Schema,16.41,MATCH: [INS2019] 4 (MoC),,
05h34m21.23s -05d25m01.56s,0.9746,49.0905,Baryonic Metric Substrate,8.35,MATCH: 2MASS J05342079-0525068 (*),,
05h35m10.07s -05d46m58.16s,0.2071,35.6515,Minkowskian Baseline,24.86,MATCH: V* AA Ori (Or*),,
05h34m42.10s -05d19m56.04s,0.5416,458.3304,Metric Spacetime Anomaly,16.88,MATCH: V* V1441 Ori (Or*),,
05h34m16.73s -05d15m49.43s,0.1936,22.6157,Minkowskian Baseline,26.73,MATCH: Parenago  1392 (TT*),,
05h35m56.23s -05d26m31.37s,0.2588,116.1891,Gasious Substrate Schema,7.15,MATCH: [SKN2015] AzTEC-Ori 433 (mm),,
05h34m05.59s -05d14m19.33s,0.2907,22.6938,Solenoidal Metric Schema (Iron),26.49,MATCH: [DRH2012] 1708 (*),,
05h35m43.15s -05d13m09.50s,0.662,5.0423,Metric Spacetime Anomaly,18.74,MATCH: TKK  1182 (*),,
05h35m33.17s -05d05m43.20s,0.2478,119.6649,Localized Torsional Inflection,9.72,MATCH: V* V2518 Ori (Or*),,
05h35m11.58s -05d20m57.89s,1.05,17.0595,Baryonic Metric Substrate,2,MATCH: [LB2000]  10 (HH),,
05h34m07.24s -05d17m20.64s,0.2917,47.1201,Solenoidal Metric Schema (Iron),18.6,MATCH: [DRS2009] 2530 (*),,
05h34m49.48s -05d14m33.34s,0.2507,39.276,Gasious Substrate Schema,24.5,MATCH: [H97b] 20864 (*),,
05h35m55.65s -05d44m11.26s,0.4965,157.3482,Metric Spacetime Anomaly,37.31,MATCH: [SKN2015] AzTEC-Ori 422 (mm),,
05h34m52.26s -05d21m57.48s,0.3136,4.4202,Solenoidal Metric Schema (Iron),19.4,MATCH: Gaia DR3 3017364883657475456 (*),,
05h35m13.40s -05d39m07.58s,0.2931,14.8435,Solenoidal Metric Schema (Iron),6.06,MATCH: V* LY Ori (Or*),,
