SECTOR D,Dark Sector,,,,,ANALYSIS,
Regime,Count,Description,,,,,
D. Dark Sector,10,"Known Lensing Clusters (Abell 2218, Bullet Cluster).",,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.04
J163554.00+661300.0,16.592,66.216,"50,000",10,Abell 2218,Average OFFSET,26.94286842
J065830.00-555636.0,6.585,-55.946,"50,000",10,Bullet Cluster,Max OFFSET,241.62
J131129.50-012028.0,13.193,-1.334,"50,000",10,Abell 1689,Number of Close Matches(OFFSET < 1 arcsecond),379
J023952.90-013408.0,2.664,-1.571,"50,000",10,Abell 370,No SIMBAD Match,0
J125948.70+275850.0,12.997,27.981,"50,000",10,Coma Cluster,Accuracy Rate,99.50%
J031948.10+413042.0,3.329,41.512,"50,000",10,Perseus Cluster,,
J140102.30+025242.0,14.017,2.871,"50,000",10,Abell 1835,Structure Type,Count
J001419.50-302319.0,0.239,-30.401,"50,000",10,Abell 2744,Gasious Substrate Schema,1072
J002635.70+170943.0,0.443,17.151,"50,000",10,CL 0024+17,Metric Spacetime Anomaly,663
J134730.70-114510.0,13.791,-11.753,"50,000",10,RX J1347,Minkowskian Baseline,641
Scan Output,,,,,,Solenoidal Metric Schema (Iron),524
TD1,,,,,,Trefoil Metric Schema,462
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Helical Metric Schema,344
"Target: RA 16.592, DEC 66.216",,,,,,Localized Torsional Inflection,303
Depth: 50000 XYZ,Radius: 10,,,,,Baryonic Metric Substrate,144
Scanning Volume... Sampling 418 points.,,,,,,Spacetime Curvature Limit (Black Hole),27
Structure Detected: 418 metric nodes.,,,,,,PREDICTED IDENTITY,10
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,TD1,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Closest OFFSET,0.32
16h35m28.63s +66d13m01.44s,0.2567,7.4344,Gasious Substrate Schema,26.81,MATCH: [RS2005] ACO 2218 112 (G),Average OFFSET,13.53045455
16h35m34.25s +66d13m10.90s,0.1838,278.8543,Minkowskian Baseline,0.32,MATCH: BOW ACO 2218 CC109 (GiC),Max OFFSET,28.09
16h35m36.72s +66d12m54.97s,0.4054,88.1934,Trefoil Metric Schema,4.15,MATCH: [RS2005] ACO 2218  99 (),Number of Close Matches(OFFSET < 1 arcsecond),3
16h35m35.00s +66d13m02.28s,0.2898,93.6433,Solenoidal Metric Schema (Iron),7.14,MATCH: [RS2005] ACO 2218 100 (G),,
16h35m32.10s +66d13m17.94s,0.2644,10.2581,Gasious Substrate Schema,9.72,MATCH: [RS2005] ACO 2218 102 (G),No SIMBAD Match,0
16h35m26.85s +66d13m01.48s,0.3567,65.71,Helical Metric Schema,24.88,MATCH: [RS2005] ACO 2218 104 (G),,
16h35m26.40s +66d13m16.52s,0.2814,21.7149,Solenoidal Metric Schema (Iron),10.85,MATCH: [RS2005] ACO 2218 104 (G),Structure Type,Count
