SECTOR E,Null Control,,,,,ANALYSIS,
Regime,Count,Description,,,,,
E. Null Control,10,"Known Cosmic Voids (Boötes, Eridanus).",,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,4.24
J142000.00+460000.0,14.83,46,"50,000",10,Boötes Void,Average OFFSET,115.2954413
J031000.00-193500.0,3.25,-19.58,"50,000",10,Eridanus Void,Max OFFSET,232.12
J183800.00+185031.2,18.63,18.84,"20,000",10,Local Void,Number of Close Matches(OFFSET < 1 arcsecond),0
J070450.40-250643.2,13,35,"50,000",10,Giant Void,No SIMBAD Match,418
J153030.00+150643.2,15.51,15.11,"50,000",10,Keenan's Void,Accuracy Rate,89.55%
J043030.00+300643.2,4.51,30.11,"50,000",10,Taurus Void,,
J234830.00-243907.2,23.81,-24.65,"50,000",10,Sculptor Void,Structure Type,Count
J220643.20+150643.2,22.11,15.11,"50,000",10,Pegasus Void,Gasious Substrate Schema,1041
J214300.00-144000.0,17,-25,"50,000",10,Ophiuchus Void,Minkowskian Baseline,673
J232000.00-123151.6,20.9,-30,"50,000",10,Microscopium,Metric Spacetime Anomaly,628
Scan Output,,,,,,Trefoil Metric Schema,517
TE1,,,,,,Solenoidal Metric Schema (Iron),512
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Helical Metric Schema,349
"Target: RA 14.83, DEC 46.0",,,,,,Localized Torsional Inflection,298
Depth: 50000 XYZ,Radius: 10,,,,,Baryonic Metric Substrate,122
Scanning Volume... Sampling 418 points.,,,,,,Spacetime Curvature Limit (Black Hole),40
Structure Detected: 418 metric nodes.,,,,,,PREDICTED IDENTITY,10
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,TE1,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Closest OFFSET,117.08
14h49m47.86s +46d00m14.90s,0.501,188.3813,Metric Spacetime Anomaly,165.46,MATCH: SDSS J144937.27+455811.5 (QSO),Average OFFSET,151.7402871
14h49m47.66s +46d00m26.46s,0.2463,58.9194,Gasious Substrate Schema,172.93,MATCH: SDSS J144937.27+455811.5 (QSO),Max OFFSET,180.82
