SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
J174540.04-290028.1,17.761,-29.008,"26,000",10,Galactic Center,Average OFFSET,61.78113397
J150000.00+100000.0,17.5,-15,"28,000",10,North Lobe Low,Max OFFSET,191.68
J180000.00-600000.0,17.2,-1,"30,000",10,North Lobe Mid,Number of Close Matches(OFFSET < 1 arcsecond),97
J120000.00+300000.0,16.7,14,"32,000",10,North Lobe High,No SIMBAD Match,0
J193000.00-150000.0,16.4,22,"27,000",10,North Lobe Top,Accuracy Rate,99.50%
J164000.00+450000.0,18.1,-43,"35,000",10,South Lobe Low,,
J183000.00-450000.0,18.7,-57,"31,000",10,South Lobe Mid,Structure Type,Count
J141500.00+250000.0,19.5,-68,"29,000",10,South Lobe High,Gasious Substrate Schema,1058
J174500.00+550000.0,20.5,-73,"40,000",10,South Lobe Bot,Minkowskian Baseline,679
J231200.00-453000.0,18.5,-29,"26,500",10,East Edge,Metric Spacetime Anomaly,611
Scan Output,,,,,,Trefoil Metric Schema,514
TF1,,,,,,Solenoidal Metric Schema (Iron),510
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Helical Metric Schema,342
"Target: RA 17.761, DEC -29.008",,,,,,Localized Torsional Inflection,275
Depth: 26000 XYZ,Radius: 10,,,,,Baryonic Metric Substrate,148
Scanning Volume... Sampling 418 points.,,,,,,Spacetime Curvature Limit (Black Hole),43
Structure Detected: 418 metric nodes.,,,,,,PREDICTED IDENTITY,10
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,TF1,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Closest OFFSET,0.02
17h45m35.25s -29d01m10.94s,0.2758,84.429,Gasious Substrate Schema,3.64,MATCH: [MES2015] 1349 (smm),Average OFFSET,2.472296651
17h45m43.88s -29d00m50.87s,0.3288,2.1238,Helical Metric Schema,2.42,MATCH: [FJ95] 54 (*),Max OFFSET,10.06
17h45m37.94s -29d00m41.21s,0.2137,121.8388,Minkowskian Baseline,0.41,MATCH: [FNS2015] 2497 (*),Number of Close Matches(OFFSET < 1 arcsecond),97
17h45m36.48s -29d00m56.83s,0.3173,2.6986,Solenoidal Metric Schema (Iron),1.43,MATCH: CXOGC J174536.6-290058 (X),,
17h45m43.79s -29d00m27.41s,0.2755,70.185,Gasious Substrate Schema,0.26,MATCH: GCIRS 29NE (*),No SIMBAD Match,0
17h45m36.67s -29d00m06.86s,0.9656,59.1826,Baryonic Metric Substrate,3.54,MATCH: CXOGC J174536.5-290010 (X),,
17h45m39.37s -29d00m24.85s,0.2254,120.4599,Gasious Substrate Schema,0.05,MATCH: [OEG99] 218 (IR),Structure Type,Count
17h45m36.43s -29d00m42.01s,0.2081,212.5352,Minkowskian Baseline,2.49,MATCH: [MBB2008] G359.933-0.037 (X),Gasious Substrate Schema,123
17h45m39.76s -29d00m07.92s,0.2811,88.8639,Solenoidal Metric Schema (Iron),0.79,MATCH: NAME Sgr A West Filament (Rad),Trefoil Metric Schema,67
17h45m35.33s -29d01m07.56s,0.2926,101.9518,Solenoidal Metric Schema (Iron),5.24,MATCH: CXOGC J174535.1-290102 (X),Metric Spacetime Anomaly,65
17h45m40.06s -29d00m28.43s,0.5135,392.9492,Localized Torsional Inflection,0.06,MATCH: [EG97] S9 (*),Minkowskian Baseline,61
17h45m39.62s -28d59m58.71s,0.4549,19.8672,Metric Spacetime Anomaly,1.68,MATCH: [FNS2015] 134 (*),Solenoidal Metric Schema (Iron),39
17h45m39.40s -29d00m46.17s,0.1788,19.8937,Minkowskian Baseline,0.39,MATCH: [FNS2015] 851 (*),Helical Metric Schema,26
17h45m35.69s -29d00m38.83s,0.3435,155.1777,Helical Metric Schema,3.83,MATCH: CXOU J174535.6-290034 (X),Localized Torsional Inflection,20
17h45m35.58s -29d00m11.97s,0.4958,95.4973,Metric Spacetime Anomaly,0.53,MATCH: CXOGC J174535.6-290012 (X),Baryonic Metric Substrate,13
