SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
17h45m35.25s -29d01m10.94s,0.2758,84.429,Gasious Substrate Schema,3.64,MATCH: [MES2015] 1349 (smm),Gasious Substrate Schema,5401,52.11260091,70.38496188,2.824939346,,-,RADIO/SUB-MM,Gasious Substrate Schema,Accurately Predicted
17h45m43.88s -29d00m50.87s,0.3288,2.1238,Helical Metric Schema,2.42,MATCH: [FJ95] 54 (*),Minkowskian Baseline,3351,54.67222662,70.91453392,2.754516394,,-,VARIABLE STAR,Helical Metric Schema,"Accurate Geometry, Inaccurate Label"
17h45m37.94s -29d00m41.21s,0.2137,121.8388,Minkowskian Baseline,0.41,MATCH: [FNS2015] 2497 (*),Metric Spacetime Anomaly,3239,52.80647262,70.19048784,2.723930855,,-,VARIABLE STAR,Minkowskian Baseline,Accurate within 10 lightyears
17h45m36.48s -29d00m56.83s,0.3173,2.6986,Solenoidal Metric Schema (Iron),1.43,MATCH: CXOGC J174536.6-290058 (X),Solenoidal Metric Schema (Iron),2606,53.80694782,69.81049868,2.793759334,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),Inaccurate
17h45m43.79s -29d00m27.41s,0.2755,70.185,Gasious Substrate Schema,0.26,MATCH: GCIRS 29NE (*),Trefoil Metric Schema,2530,53.21561163,72.53816306,2.72103134,,-,VARIABLE STAR,Gasious Substrate Schema,
17h45m36.67s -29d00m06.86s,0.9656,59.1826,Baryonic Metric Substrate,3.54,MATCH: CXOGC J174536.5-290010 (X),Helical Metric Schema,1747,54.1446416,70.72174543,2.801210733,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
17h45m39.37s -29d00m24.85s,0.2254,120.4599,Gasious Substrate Schema,0.05,MATCH: [OEG99] 218 (IR),Localized Torsional Inflection,1483,54.39530822,68.39429134,2.744360297,,-,INFRARED/YSO,Gasious Substrate Schema,
17h45m36.43s -29d00m42.01s,0.2081,212.5352,Minkowskian Baseline,2.49,MATCH: [MBB2008] G359.933-0.037 (X),Baryonic Metric Substrate,756,51.64172691,69.31501103,2.775458792,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
17h45m39.76s -29d00m07.92s,0.2811,88.8639,Solenoidal Metric Schema (Iron),0.79,MATCH: NAME Sgr A West Filament (Rad),Spacetime Curvature Limit (Black Hole),172,57.55946429,67.08545769,2.426853702,,-,RADIO/SUB-MM,Solenoidal Metric Schema (Iron),
17h45m35.33s -29d01m07.56s,0.2926,101.9518,Solenoidal Metric Schema (Iron),5.24,MATCH: CXOGC J174535.1-290102 (X),PREDICTED IDENTITY,59,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
17h45m40.06s -29d00m28.43s,0.5135,392.9492,Localized Torsional Inflection,0.06,MATCH: [EG97] S9 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
17h45m39.62s -28d59m58.71s,0.4549,19.8672,Metric Spacetime Anomaly,1.68,MATCH: [FNS2015] 134 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
17h45m39.40s -29d00m46.17s,0.1788,19.8937,Minkowskian Baseline,0.39,MATCH: [FNS2015] 851 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
17h45m35.69s -29d00m38.83s,0.3435,155.1777,Helical Metric Schema,3.83,MATCH: CXOU J174535.6-290034 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
17h45m35.58s -29d00m11.97s,0.4958,95.4973,Metric Spacetime Anomaly,0.53,MATCH: CXOGC J174535.6-290012 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
17h45m36.85s -28d59m33.58s,0.2393,16.7119,Gasious Substrate Schema,8.38,MATCH: CXOGC J174536.2-285930 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
17h45m42.17s -28d59m51.23s,0.3028,31.9963,Solenoidal Metric Schema (Iron),3.02,MATCH: [BSD96] 124 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
17h45m39.22s -29d00m39.68s,0.3459,9.9566,Helical Metric Schema,1.04,MATCH: [ZKF2008] -11.45-10 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
17h45m42.41s -28d59m24.14s,0.4286,32.9754,Trefoil Metric Schema,3.48,MATCH: CXOGC J174542.4-285927 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
17h45m41.53s -29d00m59.06s,0.2979,233.2306,Solenoidal Metric Schema (Iron),2,MATCH: [YRW2013] 18 (out),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
