ra,dec
17 45 35.25 ,-29 01 10.94 
17 45 43.88 ,-29 00 50.87 
17 45 37.94 ,-29 00 41.21 
17 45 36.48 ,-29 00 56.83 
17 45 43.79 ,-29 00 27.41 
17 45 36.67 ,-29 00 06.86 
17 45 39.37 ,-29 00 24.85 
17 45 36.43 ,-29 00 42.01 
17 45 39.76 ,-29 00 07.92 
17 45 35.33 ,-29 01 07.56 
17 45 40.06 ,-29 00 28.43 
17 45 39.62 ,-28 59 58.71 
17 45 39.40 ,-29 00 46.17 
17 45 35.69 ,-29 00 38.83 
17 45 35.58 ,-29 00 11.97 
17 45 36.85 ,-28 59 33.58 
17 45 42.17 ,-28 59 51.23 
17 45 39.22 ,-29 00 39.68 
17 45 42.41 ,-28 59 24.14 
17 45 41.53 ,-29 00 59.06 
17 45 41.36 ,-29 00 43.86 
17 45 35.78 ,-29 00 03.47 
17 45 39.50 ,-28 59 33.58 
17 45 38.74 ,-28 59 19.00 
17 45 36.59 ,-29 01 01.91 
17 45 42.08 ,-29 01 16.58 
17 45 38.06 ,-29 00 29.62 
17 45 39.08 ,-29 00 46.40 
17 45 34.85 ,-29 00 36.58 
17 45 41.03 ,-29 01 12.45 
17 45 34.42 ,-29 00 42.80 
17 45 40.22 ,-29 00 41.42 
17 45 37.25 ,-29 00 45.54 
17 45 36.95 ,-29 01 28.82 
17 45 38.12 ,-29 00 30.31 
17 45 38.60 ,-29 01 37.28 
17 45 36.23 ,-29 00 19.63 
17 45 38.48 ,-29 01 13.81 
17 45 36.82 ,-29 00 50.72 
17 45 34.98 ,-28 59 53.47 
17 45 44.05 ,-29 00 55.27 
17 45 41.51 ,-29 00 45.96 
17 45 39.84 ,-29 00 49.71 
17 45 35.08 ,-29 00 46.56 
17 45 43.10 ,-29 00 49.03 
17 45 35.52 ,-29 00 04.73 
17 45 37.66 ,-29 00 19.52 
17 45 36.08 ,-29 00 14.29 
17 45 38.06 ,-28 59 42.85 
17 45 35.18 ,-29 00 22.85 
17 45 41.08 ,-28 59 26.62 
17 45 41.48 ,-28 59 47.55 
17 45 38.08 ,-29 00 08.18 
17 45 37.75 ,-29 01 32.55 
17 45 40.40 ,-29 01 25.82 
17 45 42.78 ,-29 01 04.09 
17 45 39.16 ,-29 01 31.68 
17 45 37.14 ,-29 00 32.85 
17 45 41.76 ,-28 59 58.27 
17 45 37.23 ,-29 00 50.29 
17 45 43.11 ,-28 59 31.95 
17 45 44.00 ,-29 00 26.39 
17 45 36.45 ,-28 59 38.52 
17 45 42.61 ,-29 00 24.58 
17 45 37.69 ,-29 01 15.57 
17 45 45.57 ,-29 00 19.25 
17 45 44.44 ,-29 00 40.35 
17 45 42.82 ,-29 00 35.29 
17 45 37.52 ,-29 00 04.37 
17 45 40.00 ,-29 00 53.20 
17 45 37.42 ,-28 59 55.07 
17 45 45.03 ,-28 59 53.36 
17 45 36.69 ,-28 59 58.65 
17 45 43.28 ,-29 01 06.54 
17 45 38.66 ,-28 59 22.43 
17 45 35.66 ,-29 00 35.96 
17 45 41.89 ,-29 00 12.99 
17 45 35.15 ,-29 00 49.14 
17 45 37.51 ,-29 00 50.81 
17 45 41.61 ,-28 59 43.91 
17 45 40.59 ,-29 00 47.81 
17 45 37.12 ,-28 59 38.65 
17 45 42.86 ,-29 01 13.66 
17 45 37.24 ,-29 00 45.32 
17 45 36.54 ,-29 00 42.98 
17 45 38.40 ,-29 00 05.64 
17 45 39.45 ,-28 59 59.67 
17 45 41.43 ,-29 00 12.63 
17 45 35.19 ,-29 01 14.82 
17 45 41.21 ,-28 59 46.94 
17 45 43.14 ,-29 00 28.78 
17 45 43.33 ,-29 00 15.20 
17 45 36.12 ,-29 00 30.15 
17 45 38.76 ,-29 00 11.61 
17 45 37.89 ,-29 01 03.46 
17 45 41.00 ,-29 01 30.63 
17 45 41.84 ,-29 00 14.11 
17 45 36.74 ,-28 59 56.17 
17 45 42.81 ,-28 59 42.05 
17 45 44.38 ,-29 01 18.29 
17 45 42.66 ,-29 00 09.54 
17 45 39.04 ,-29 01 45.22 
17 45 44.63 ,-29 00 10.01 
17 45 37.58 ,-29 00 38.88 
17 45 36.18 ,-29 01 08.10 
17 45 43.27 ,-29 01 08.68 
17 45 41.36 ,-28 59 19.15 
17 45 39.22 ,-29 00 09.97 
17 45 36.82 ,-29 01 14.19 
17 45 42.88 ,-29 00 49.43 
17 45 36.29 ,-29 00 42.60 
17 45 43.37 ,-29 00 10.80 
17 45 37.36 ,-29 00 54.03 
17 45 42.34 ,-29 00 23.30 
17 45 39.35 ,-29 00 20.50 
17 45 44.08 ,-29 01 11.23 
17 45 35.09 ,-28 59 46.17 
17 45 36.47 ,-29 01 12.61 
17 45 44.17 ,-29 00 25.42 
17 45 41.45 ,-28 59 39.89 
17 45 38.51 ,-29 00 50.70 
17 45 41.87 ,-29 00 22.90 
17 45 41.08 ,-29 01 43.21 
17 45 37.94 ,-28 59 22.98 
17 45 38.29 ,-28 59 56.09 
17 45 41.21 ,-28 59 17.60 
