ra,dec
20 23 56.40 ,33 52 02.62 
20 24 12.92 ,33 51 01.41 
20 23 53.62 ,33 51 35.09 
20 24 08.55 ,33 55 13.71 
20 23 56.37 ,33 54 14.64 
20 24 12.37 ,33 53 04.60 
20 24 18.47 ,33 51 31.60 
20 24 02.94 ,33 50 52.92 
20 24 06.57 ,33 51 33.99 
20 24 12.69 ,33 55 00.52 
20 24 18.03 ,33 51 24.74 
20 24 17.94 ,33 53 38.15 
20 24 00.98 ,33 48 10.78 
20 23 52.52 ,33 54 40.34 
20 23 49.10 ,33 51 55.71 
20 24 07.61 ,33 51 03.70 
20 23 58.38 ,33 49 10.48 
20 24 00.78 ,33 50 46.10 
20 24 03.97 ,33 50 56.68 
20 23 44.48 ,33 51 23.00 
20 24 17.72 ,33 53 26.57 
20 24 06.11 ,33 55 31.34 
20 24 00.54 ,33 55 40.30 
20 23 49.94 ,33 49 46.43 
20 24 10.15 ,33 55 00.72 
20 24 09.71 ,33 54 09.49 
20 23 47.24 ,33 52 51.58 
20 23 52.15 ,33 53 13.63 
20 24 10.54 ,33 52 33.56 
20 24 02.17 ,33 49 21.37 
20 23 56.98 ,33 52 07.39 
20 24 20.28 ,33 53 10.79 
20 24 07.60 ,33 52 23.18 
20 23 56.36 ,33 50 22.50 
20 24 11.74 ,33 51 36.41 
20 24 08.50 ,33 51 46.38 
20 23 54.43 ,33 55 21.30 
20 23 51.61 ,33 53 10.58 
20 24 20.46 ,33 51 33.82 
20 24 03.82 ,33 53 40.68 
20 24 07.91 ,33 55 47.37 
20 24 03.92 ,33 55 02.63 
20 24 06.86 ,33 56 12.23 
20 23 50.24 ,33 54 54.10 
20 24 05.10 ,33 52 25.34 
20 23 58.35 ,33 50 49.86 
20 24 04.25 ,33 50 39.99 
20 24 00.64 ,33 55 32.25 
20 24 06.73 ,33 51 41.68 
20 23 55.26 ,33 49 36.44 
20 24 18.01 ,33 49 29.54 
20 23 54.43 ,33 52 58.77 
20 23 49.40 ,33 50 10.29 
20 23 55.63 ,33 50 17.30 
20 23 54.67 ,33 50 52.69 
20 24 05.58 ,33 47 58.75 
20 24 14.98 ,33 50 13.58 
20 24 07.23 ,33 54 02.70 
20 23 56.75 ,33 53 43.12 
20 23 51.84 ,33 50 38.41 
