ra,dec
10 44 54.78 ,-59 44 30.71 
10 44 45.62 ,-59 40 24.16 
10 44 49.60 ,-59 42 03.21 
10 44 39.25 ,-59 42 09.58 
10 45 03.69 ,-59 39 25.95 
10 44 59.27 ,-59 42 08.95 
10 45 02.59 ,-59 42 01.37 
10 44 56.86 ,-59 40 21.78 
10 44 38.46 ,-59 41 39.99 
10 44 49.69 ,-59 44 05.63 
10 45 17.46 ,-59 40 40.68 
10 44 50.41 ,-59 42 39.00 
10 44 45.77 ,-59 38 45.05 
10 45 15.03 ,-59 42 54.44 
10 44 58.20 ,-59 40 44.29 
10 44 51.29 ,-59 40 24.57 
10 44 48.99 ,-59 40 02.03 
10 44 37.53 ,-59 37 59.48 
10 44 41.89 ,-59 40 14.27 
10 44 47.41 ,-59 41 12.56 
10 44 46.53 ,-59 40 23.47 
10 45 16.84 ,-59 40 46.21 
10 44 51.75 ,-59 42 21.48 
10 45 06.36 ,-59 44 08.52 
10 44 57.62 ,-59 40 42.79 
10 44 42.57 ,-59 41 09.68 
10 44 34.58 ,-59 42 48.35 
10 44 37.34 ,-59 42 28.87 
10 45 03.84 ,-59 37 14.57 
10 45 03.13 ,-59 42 13.89 
10 45 04.03 ,-59 42 28.57 
10 45 02.82 ,-59 42 28.92 
10 45 02.65 ,-59 42 03.76 
10 45 11.76 ,-59 37 54.92 
10 44 53.76 ,-59 40 58.27 
10 45 08.24 ,-59 38 56.38 
10 45 02.60 ,-59 40 45.30 
10 45 19.83 ,-59 39 09.29 
10 44 31.81 ,-59 41 24.12 
10 44 59.08 ,-59 43 56.98 
10 44 58.23 ,-59 40 26.16 
10 45 12.56 ,-59 42 43.68 
10 44 46.70 ,-59 42 16.09 
10 44 49.47 ,-59 38 06.55 
10 45 19.71 ,-59 41 15.44 
10 45 03.75 ,-59 37 30.30 
10 44 50.31 ,-59 38 11.40 
10 44 41.85 ,-59 41 05.32 
10 45 03.29 ,-59 40 31.40 
10 45 00.40 ,-59 37 40.68 
10 44 45.68 ,-59 39 21.21 
10 45 01.60 ,-59 40 23.84 
10 44 53.00 ,-59 42 21.44 
10 44 55.40 ,-59 43 13.12 
10 44 53.22 ,-59 43 22.81 
10 44 45.49 ,-59 41 35.39 
10 45 04.50 ,-59 40 00.33 
10 45 09.78 ,-59 43 29.62 
10 45 08.64 ,-59 41 22.60 
10 45 16.18 ,-59 39 47.72 
10 44 32.79 ,-59 39 52.65 
10 45 09.83 ,-59 41 28.85 
10 44 51.29 ,-59 43 20.37 
10 44 44.01 ,-59 41 19.36 
10 45 00.73 ,-59 38 37.95 
10 44 41.82 ,-59 39 11.20 
10 45 08.22 ,-59 41 11.84 
10 45 07.76 ,-59 41 47.09 
10 45 02.22 ,-59 38 00.56 
10 45 01.59 ,-59 41 03.02 
10 44 47.90 ,-59 41 14.72 
10 44 29.37 ,-59 40 50.17 
10 44 29.42 ,-59 42 22.04 
10 44 52.64 ,-59 43 54.81 
10 45 10.11 ,-59 40 27.18 
10 45 09.72 ,-59 43 48.00 
10 45 05.31 ,-59 41 26.66 
10 44 44.77 ,-59 38 25.86 
10 45 05.87 ,-59 38 13.64 
10 45 05.25 ,-59 42 42.95 
10 44 58.75 ,-59 42 56.82 
10 44 35.58 ,-59 40 39.24 
10 45 23.68 ,-59 41 30.00 
10 45 20.83 ,-59 40 27.85 
10 44 30.84 ,-59 41 16.02 
10 44 36.61 ,-59 39 31.73 
10 44 30.88 ,-59 41 01.15 
10 45 10.73 ,-59 40 53.72 
10 45 24.55 ,-59 40 03.96 
10 44 50.63 ,-59 40 40.17 
10 45 08.33 ,-59 37 51.08 
10 45 19.91 ,-59 41 10.03 
10 44 36.69 ,-59 40 39.45 
10 44 35.97 ,-59 41 07.02 
10 44 53.73 ,-59 44 04.55 
10 44 54.97 ,-59 41 42.34 
10 44 56.08 ,-59 40 06.21 
10 44 55.93 ,-59 43 03.99 
10 44 51.29 ,-59 38 49.77 
10 45 10.40 ,-59 44 29.39 
10 45 08.61 ,-59 44 19.73 
10 45 19.80 ,-59 39 28.18 
10 44 50.55 ,-59 40 03.10 
10 44 47.28 ,-59 40 15.11 
10 44 52.51 ,-59 41 52.76 
10 44 45.15 ,-59 41 06.34 
10 44 48.22 ,-59 41 22.95 
10 44 28.66 ,-59 39 37.91 
10 44 36.29 ,-59 38 52.49 
10 45 09.60 ,-59 39 46.15 
10 44 38.87 ,-59 39 15.94 
10 45 10.69 ,-59 42 08.73 
10 44 59.24 ,-59 41 01.62 
10 45 08.67 ,-59 44 18.44 
10 45 00.36 ,-59 37 58.98 
10 45 08.41 ,-59 39 11.47 
10 44 59.67 ,-59 44 40.21 
10 44 45.57 ,-59 39 23.75 
10 45 20.55 ,-59 40 57.68 
10 44 45.31 ,-59 43 16.27 
10 45 24.55 ,-59 41 18.29 
10 45 00.77 ,-59 41 49.44 
10 45 17.22 ,-59 41 52.85 
10 45 18.34 ,-59 39 19.91 
10 44 47.54 ,-59 42 04.95 
10 44 58.40 ,-59 41 58.36 
10 44 41.56 ,-59 39 48.76 
10 44 28.74 ,-59 39 26.90 
10 44 45.99 ,-59 39 57.76 
10 44 51.85 ,-59 42 59.20 
10 44 57.36 ,-59 42 58.63 
10 45 11.31 ,-59 41 30.36 
10 44 43.27 ,-59 43 49.74 
10 44 55.33 ,-59 41 19.96 
10 45 03.25 ,-59 41 59.18 
10 45 17.18 ,-59 40 31.69 
10 44 28.35 ,-59 41 39.64 
10 44 28.71 ,-59 41 39.97 
10 45 04.38 ,-59 41 47.75 
10 44 38.95 ,-59 39 44.59 
10 45 13.09 ,-59 38 59.23 
10 45 13.14 ,-59 38 55.26 
10 44 58.77 ,-59 41 05.95 
10 44 37.33 ,-59 42 37.51 
10 45 06.60 ,-59 42 19.09 
10 45 05.59 ,-59 38 50.91 
10 44 48.09 ,-59 42 57.23 
10 45 19.53 ,-59 43 35.74 
