ra,dec
02 56 07.28 ,89 01 16.98 
00 59 28.57 ,89 17 04.05 
01 49 35.47 ,89 25 10.15 
02 19 16.67 ,89 07 33.76 
01 20 22.32 ,89 31 43.48 
03 02 28.25 ,89 20 40.62 
03 01 40.18 ,89 25 39.91 
03 26 25.78 ,89 32 02.28 
02 55 22.60 ,89 04 05.40 
01 43 15.55 ,89 14 01.07 
03 46 40.23 ,89 28 48.21 
01 42 13.28 ,89 18 07.31 
00 36 09.31 ,89 17 26.71 
02 19 28.55 ,89 17 11.61 
02 00 41.50 ,89 32 34.29 
01 02 45.06 ,89 06 32.37 
04 57 15.71 ,89 26 54.33 
01 34 30.52 ,89 00 20.53 
04 13 43.03 ,89 26 43.18 
02 30 00.30 ,89 25 31.82 
02 06 20.41 ,89 24 48.02 
00 09 59.56 ,89 19 54.75 
02 38 43.40 ,88 57 38.51 
02 19 12.53 ,89 11 24.07 
04 17 24.98 ,89 11 23.38 
01 45 52.21 ,89 28 35.93 
