ra,dec
02 39 50.86 ,-01 34 25.84 
02 39 50.49 ,-01 34 19.48 
02 39 50.50 ,-01 34 48.42 
02 39 51.04 ,-01 33 57.97 
02 39 48.66 ,-01 33 56.54 
02 39 50.27 ,-01 34 16.62 
02 39 50.50 ,-01 34 41.26 
02 39 51.65 ,-01 34 10.17 
02 39 48.82 ,-01 34 38.11 
02 39 51.97 ,-01 34 37.30 
02 39 48.71 ,-01 34 04.72 
02 39 48.60 ,-01 34 21.56 
02 39 49.52 ,-01 34 24.62 
02 39 49.59 ,-01 34 38.74 
02 39 51.32 ,-01 34 17.09 
02 39 53.10 ,-01 34 06.77 
02 39 49.32 ,-01 33 46.84 
02 39 49.85 ,-01 34 14.04 
02 39 48.44 ,-01 34 35.72 
02 39 51.82 ,-01 34 24.71 
02 39 51.78 ,-01 34 03.78 
02 39 49.52 ,-01 34 22.60 
02 39 50.42 ,-01 34 06.73 
02 39 50.34 ,-01 34 16.16 
02 39 50.49 ,-01 33 42.57 
02 39 50.62 ,-01 34 26.32 
02 39 48.98 ,-01 33 57.27 
02 39 51.42 ,-01 33 47.53 
02 39 49.53 ,-01 34 17.23 
02 39 50.70 ,-01 34 25.47 
02 39 51.68 ,-01 34 33.05 
02 39 49.66 ,-01 34 40.54 
02 39 49.22 ,-01 34 45.52 
02 39 50.17 ,-01 34 09.08 
02 39 51.40 ,-01 34 34.10 
02 39 48.30 ,-01 33 58.43 
02 39 49.35 ,-01 34 50.44 
02 39 49.68 ,-01 34 07.43 
02 39 49.80 ,-01 33 52.69 
02 39 51.45 ,-01 34 03.15 
02 39 51.04 ,-01 33 58.77 
02 39 50.90 ,-01 34 18.24 
02 39 51.47 ,-01 33 55.80 
02 39 50.01 ,-01 33 40.78 
02 39 50.94 ,-01 34 01.79 
02 39 48.91 ,-01 33 58.88 
02 39 49.29 ,-01 33 43.32 
02 39 50.21 ,-01 34 18.30 
02 39 51.54 ,-01 34 40.35 
02 39 52.50 ,-01 34 03.94 
02 39 50.89 ,-01 33 47.48 
02 39 50.21 ,-01 33 58.98 
02 39 50.19 ,-01 34 07.74 
02 39 48.66 ,-01 33 51.86 
02 39 49.05 ,-01 34 24.93 
02 39 52.19 ,-01 33 48.97 
02 39 52.24 ,-01 34 31.78 
02 39 49.11 ,-01 34 02.61 
02 39 50.59 ,-01 34 02.68 
02 39 52.44 ,-01 34 08.52 
02 39 48.12 ,-01 34 16.10 
02 39 51.53 ,-01 34 30.23 
02 39 50.59 ,-01 33 58.24 
02 39 51.79 ,-01 34 04.29 
02 39 48.16 ,-01 34 13.17 
02 39 50.78 ,-01 33 37.69 
02 39 51.60 ,-01 33 43.88 
02 39 49.78 ,-01 34 34.42 
02 39 52.10 ,-01 34 03.14 
02 39 49.96 ,-01 34 41.60 
