ra,dec
15 30 33.43 ,15 06 35.08 
15 30 38.05 ,15 06 48.46 
15 30 36.35 ,15 06 55.05 
15 30 36.18 ,15 06 45.70 
15 30 37.93 ,15 06 39.46 
15 30 35.75 ,15 06 48.48 
15 30 37.94 ,15 06 16.10 
15 30 33.84 ,15 06 46.86 
15 30 36.16 ,15 06 42.92 
15 30 36.10 ,15 06 23.37 
15 30 34.95 ,15 06 18.98 
15 30 34.20 ,15 06 33.19 
15 30 35.63 ,15 06 31.14 
15 30 35.82 ,15 07 11.28 
15 30 37.50 ,15 06 30.04 
15 30 33.81 ,15 06 41.12 
15 30 34.83 ,15 06 39.70 
15 30 35.29 ,15 07 12.57 
15 30 35.62 ,15 07 08.78 
15 30 36.72 ,15 06 18.56 
15 30 38.13 ,15 06 28.95 
15 30 37.80 ,15 06 11.09 
15 30 34.24 ,15 06 36.77 
15 30 34.76 ,15 06 57.46 
15 30 36.15 ,15 06 15.07 
15 30 35.40 ,15 06 33.30 
15 30 37.04 ,15 06 39.58 
15 30 37.40 ,15 06 32.50 
15 30 35.47 ,15 06 09.09 
15 30 34.49 ,15 06 56.76 
15 30 34.53 ,15 06 46.23 
15 30 33.57 ,15 06 32.65 
15 30 35.00 ,15 07 04.09 
15 30 37.98 ,15 06 15.50 
15 30 36.69 ,15 06 14.90 
15 30 35.67 ,15 06 48.52 
15 30 37.57 ,15 06 33.14 
15 30 37.23 ,15 06 47.12 
15 30 37.48 ,15 06 16.99 
15 30 35.50 ,15 06 18.73 
15 30 35.20 ,15 06 27.66 
15 30 35.99 ,15 06 05.08 
15 30 35.98 ,15 06 50.44 
15 30 37.31 ,15 07 06.92 
15 30 37.03 ,15 06 49.35 
15 30 37.14 ,15 06 45.93 
15 30 37.47 ,15 06 19.24 
15 30 37.47 ,15 06 20.15 
15 30 35.43 ,15 06 16.18 
15 30 35.73 ,15 06 21.12 
15 30 34.80 ,15 07 05.13 
15 30 36.09 ,15 06 07.96 
15 30 36.12 ,15 06 28.18 
15 30 35.20 ,15 06 25.96 
15 30 33.45 ,15 06 40.91 
15 30 33.57 ,15 06 44.08 
15 30 36.58 ,15 06 38.16 
15 30 36.55 ,15 07 01.55 
15 30 35.84 ,15 06 07.55 
15 30 36.48 ,15 06 27.53 
15 30 33.83 ,15 06 19.48 
