ra,dec
18 30 04.83 ,-29 00 41.69 
18 29 59.37 ,-28 59 43.91 
18 30 04.40 ,-28 59 57.30 
18 30 01.20 ,-29 00 57.16 
18 29 58.47 ,-28 59 50.15 
18 30 04.41 ,-29 00 07.63 
18 30 01.48 ,-28 59 32.80 
18 30 01.12 ,-28 59 05.18 
18 30 03.87 ,-28 59 41.74 
18 30 01.31 ,-28 59 05.13 
18 30 04.63 ,-29 00 09.09 
18 30 00.83 ,-28 59 01.71 
18 29 58.27 ,-28 58 54.67 
18 30 01.93 ,-28 59 12.87 
18 30 00.97 ,-28 59 31.91 
18 29 59.87 ,-28 59 59.59 
18 29 57.23 ,-29 00 54.37 
18 30 02.65 ,-29 00 06.10 
18 29 55.31 ,-28 59 31.70 
18 29 58.20 ,-29 00 05.28 
18 30 01.57 ,-28 59 16.51 
18 30 05.20 ,-29 00 25.85 
18 29 57.41 ,-29 00 22.37 
18 29 56.22 ,-28 59 54.46 
18 30 05.02 ,-28 59 55.70 
18 29 54.76 ,-28 59 27.99 
18 30 00.22 ,-29 00 04.01 
18 30 01.42 ,-29 00 39.18 
18 29 59.26 ,-28 59 45.62 
18 29 59.33 ,-28 59 07.82 
18 29 58.91 ,-28 59 58.26 
18 29 58.03 ,-29 00 26.57 
18 29 59.75 ,-28 59 22.26 
18 30 04.70 ,-28 59 32.39 
18 30 00.52 ,-28 59 50.51 
18 30 01.23 ,-29 00 07.52 
18 30 01.17 ,-29 00 14.28 
18 29 58.31 ,-29 00 29.59 
18 30 01.00 ,-29 00 18.57 
18 30 02.29 ,-29 01 02.54 
18 29 57.16 ,-29 01 04.61 
18 29 58.17 ,-28 58 56.99 
18 30 00.89 ,-29 00 18.58 
18 30 03.77 ,-28 59 07.50 
18 30 01.50 ,-28 59 22.76 
18 30 00.53 ,-28 59 25.08 
18 29 59.89 ,-29 00 52.34 
18 29 58.79 ,-29 00 39.12 
18 30 05.18 ,-29 00 35.00 
18 29 56.70 ,-29 00 51.33 
18 30 02.60 ,-28 59 15.88 
18 29 56.32 ,-28 59 46.13 
18 30 00.05 ,-28 59 47.77 
18 29 59.66 ,-28 59 08.56 
18 29 59.52 ,-29 00 04.31 
18 29 58.30 ,-29 00 03.27 
18 30 00.20 ,-28 59 07.39 
18 30 01.53 ,-28 59 52.83 
18 29 56.15 ,-29 00 52.37 
18 30 00.76 ,-28 59 34.00 
18 30 01.18 ,-29 01 15.94 
18 30 04.49 ,-28 59 12.60 
18 29 57.55 ,-28 59 13.23 
18 29 56.09 ,-29 00 16.64 
18 30 00.40 ,-29 00 41.21 
18 30 00.17 ,-28 59 42.05 
18 30 00.05 ,-28 59 31.95 
18 30 02.67 ,-29 00 56.86 
18 29 57.68 ,-29 00 46.74 
18 30 00.87 ,-28 59 55.99 
18 29 58.31 ,-28 59 21.32 
18 29 58.60 ,-28 59 13.65 
18 30 01.99 ,-28 59 47.31 
